rank,candidate_id,convergence,median_fitness,median_nn,median_delta_rotation_deg,median_delta_translation_m,r00,r01,r02,r10,r11,r12,r20,r21,r22
1,5,8/10,0.170600096203,0.177017323673,83.8197149772,8.56554911578,1,0,0,0,0,-1,0,1,0
2,12,8/10,0.319579812785,0.290492087603,85.2850332191,10.2885073131,0,1,0,0,0,1,1,0,0
3,6,8/10,0.334410036592,0.385251030326,74.1896216962,8.28171799489,1,0,0,0,0,1,0,-1,0
4,14,8/10,0.608756595272,0.419319242239,86.9934930313,10.3194011826,0,-1,0,0,0,1,-1,0,0
5,15,8/10,0.479572677317,0.493643857539,91.8031595014,7.75043403105,0,1,0,0,0,-1,-1,0,0
6,22,8/10,0.920465639095,0.541055947542,92.8229743315,10.6205947983,0,0,1,0,1,0,-1,0,0
7,20,8/10,0.840001924747,0.579396471381,85.367347695,6.44133115128,0,0,-1,0,1,0,1,0,0
8,21,8/10,0.909467018174,0.607261627913,100.283496967,8.96291107782,0,0,1,0,-1,0,1,0,0
9,13,8/10,1.09165501084,0.622041523457,79.1783719356,6.74380888697,0,-1,0,0,0,-1,1,0,0
10,23,8/10,1.05335573986,0.829705700278,88.2994006185,7.57224085466,0,0,-1,0,-1,0,-1,0,0
11,7,7/10,1.18003361636,0.553127676249,40.0838399673,4.59529911095,-1,0,0,0,0,-1,0,-1,0
12,16,7/10,1.18709206259,0.714755386114,93.7422493618,4.26022467156,0,0,1,1,0,0,0,1,0
13,4,7/10,1.22412719932,0.790368720889,64.6643522732,5.14804210926,-1,0,0,0,0,1,0,1,0
14,18,7/10,1.95397704956,1.21833725274,91.9154767044,6.8682750241,0,0,-1,1,0,0,0,-1,0
15,19,7/10,1.97837512051,1.29185432196,92.3781076794,8.16750344055,0,0,1,-1,0,0,0,-1,0
16,17,7/10,1.90700582851,1.41905298829,86.2826150889,7.53241177121,0,0,-1,-1,0,0,0,1,0
17,0,5/10,8.98846567431e+307,7.24099606276,2.49428146197,0.0570286289947,1,0,0,0,1,0,0,0,1
18,1,4/10,1.79769313486e+308,14.0736374855,0.00489326480677,6.52077690547e-06,-1,0,0,0,-1,0,0,0,1
19,9,4/10,1.79769313486e+308,14.1284127235,0.00489326480677,6.52077690547e-06,0,1,0,-1,0,0,0,0,1
20,8,4/10,1.79769313486e+308,14.2627420425,0.00489326480677,6.52077690547e-06,0,-1,0,1,0,0,0,0,1
21,3,4/10,1.79769313486e+308,14.7576966286,0.00489326480677,6.52077690547e-06,1,0,0,0,-1,0,0,0,-1
22,11,4/10,1.79769313486e+308,14.7990150452,0.00489326480677,6.52077690547e-06,0,-1,0,-1,0,0,0,0,-1
23,2,4/10,1.79769313486e+308,14.8412351608,0.00489326480677,6.52077690547e-06,-1,0,0,0,1,0,0,0,-1
24,10,4/10,1.79769313486e+308,14.8704614639,0.00489326480677,6.52077690547e-06,0,1,0,1,0,0,0,0,-1
