selection_index,scan_index,header_stamp,target_header_stamp,header_delta_s,frame_id,point_count,time_valid_count,time_nan_count,time_min,time_max,time_span
0,31,1517157222.214606046677,1517157222.214606046677,0.000000000000,cmu_rc2_velodyne,28882,28882,0,0.000000000,0.100839213,0.100839213
1,384,1517157257.816044092178,1517157257.816044092178,0.000000000000,cmu_rc2_velodyne,28880,28880,0,0.000000000,0.100839213,0.100839213
2,742,1517157293.921727895737,1517157293.921727895737,0.000000000000,cmu_rc2_velodyne,21175,21175,0,0.000000000,0.100777462,0.100777462
3,848,1517157304.612215995789,1517157304.612215995789,0.000000000000,cmu_rc2_velodyne,28946,28946,0,0.000000000,0.100838259,0.100838259
4,1298,1517157349.996475934982,1517157349.996475934982,0.000000000000,cmu_rc2_velodyne,28931,28931,0,0.000000000,0.100777462,0.100777462
5,1468,1517157367.141580104828,1517157367.141580104828,0.000000000000,cmu_rc2_velodyne,28961,28961,0,0.000000000,0.100839213,0.100839213
6,1892,1517157409.903671026230,1517157409.903671026230,0.000000000000,cmu_rc2_velodyne,28912,28912,0,0.000000000,0.100778416,0.100778416
7,2008,1517157421.602704048157,1517157421.602704048157,0.000000000000,cmu_rc2_velodyne,28984,28984,0,0.000000000,0.100839213,0.100839213
8,2354,1517157456.498140096664,1517157456.498140096664,0.000000000000,cmu_rc2_velodyne,28972,28972,0,0.000000000,0.100839213,0.100839213
9,2757,1517157497.142230033875,1517157497.142230033875,0.000000000000,cmu_rc2_velodyne,26833,26833,0,0.000000000,0.100839451,0.100839451
10,105,1517157229.677810907364,1517157229.677810907364,0.000000000000,cmu_rc2_velodyne,28987,28987,0,0.000000000,0.100839451,0.100839451
11,264,1517157245.713576078415,1517157245.713576078415,0.000000000000,cmu_rc2_velodyne,29064,29064,0,0.000000000,0.100839213,0.100839213
12,560,1517157275.566306114197,1517157275.566306114197,0.000000000000,cmu_rc2_velodyne,29009,29009,0,0.000000000,0.100839213,0.100839213
13,327,1517157252.067328929901,1517157252.067328929901,0.000000000000,cmu_rc2_velodyne,29066,29066,0,0.000000000,0.100838497,0.100838497
14,827,1517157302.494278907776,1517157302.494278907776,0.000000000000,cmu_rc2_velodyne,28926,28926,0,0.000000000,0.100838497,0.100838497
15,564,1517157275.969746112823,1517157275.969746112823,0.000000000000,cmu_rc2_velodyne,28991,28991,0,0.000000000,0.100776270,0.100776270
16,1050,1517157324.984716892242,1517157324.984716892242,0.000000000000,cmu_rc2_velodyne,28988,28988,0,0.000000000,0.100778416,0.100778416
17,931,1517157312.983108997345,1517157312.983108997345,0.000000000000,cmu_rc2_velodyne,28981,28981,0,0.000000000,0.100776270,0.100776270
18,1353,1517157355.543410062790,1517157355.543410062790,0.000000000000,cmu_rc2_velodyne,28815,28815,0,0.000000000,0.100839213,0.100839213
19,1243,1517157344.449480056763,1517157344.449480056763,0.000000000000,cmu_rc2_velodyne,28924,28924,0,0.000000000,0.100839213,0.100839213
20,1397,1517157359.981007099152,1517157359.981007099152,0.000000000000,cmu_rc2_velodyne,28899,28899,0,0.000000000,0.100808218,0.100808218
21,1536,1517157373.999696016312,1517157373.999696016312,0.000000000000,cmu_rc2_velodyne,28992,28992,0,0.000000000,0.100778416,0.100778416
22,1840,1517157404.659254074097,1517157404.659254074097,0.000000000000,cmu_rc2_velodyne,29012,29012,0,0.000000000,0.100839213,0.100839213
23,1943,1517157415.047167062759,1517157415.047167062759,0.000000000000,cmu_rc2_velodyne,28911,28911,0,0.000000000,0.100839213,0.100839213
24,1953,1517157416.055706024170,1517157416.055706024170,0.000000000000,cmu_rc2_velodyne,28875,28875,0,0.000000000,0.100839451,0.100839451
25,2101,1517157430.982136964798,1517157430.982136964798,0.000000000000,cmu_rc2_velodyne,29031,29031,0,0.000000000,0.100778416,0.100778416
26,2238,1517157444.799107074738,1517157444.799107074738,0.000000000000,cmu_rc2_velodyne,29079,29079,0,0.000000000,0.100839213,0.100839213
27,2496,1517157470.819410085678,1517157470.819410085678,0.000000000000,cmu_rc2_velodyne,29050,29050,0,0.000000000,0.100839213,0.100839213
28,2680,1517157489.376496076584,1517157489.376496076584,0.000000000000,cmu_rc2_velodyne,28827,28827,0,0.000000000,0.100839213,0.100839213
29,2599,1517157481.207323074341,1517157481.207323074341,0.000000000000,cmu_rc2_velodyne,29053,29053,0,0.000000000,0.100839213,0.100839213
