selection_index,split,segment_id,scan_index,header_stamp,bag_record_time,start_stamp,end_stamp,duration_s,translation_m,rotation_deg
0,CALIBRATION,0,31,1517157222.214606046677,1690254115.9758565,1517157222.214606046677,1517157222.314138889313,0.099532842636,0.001242062464,0.016158497156
1,CALIBRATION,1,384,1517157257.816044092178,1690254151.5750592,1517157257.816044092178,1517157257.915576934814,0.099532842636,0.188394327717,0.151521661730
2,CALIBRATION,2,742,1517157293.921727895737,1690254187.6811044,1517157293.921727895737,1517157294.021198987961,0.099471092224,0.001130347192,0.025801381953
3,CALIBRATION,3,848,1517157304.612215995789,1690254198.371799,1517157304.612215995789,1517157304.711747884750,0.099531888962,0.001278865689,0.052393810687
4,CALIBRATION,4,1298,1517157349.996475934982,1690254243.7594569,1517157349.996475934982,1517157350.095947027206,0.099471092224,0.000557833544,0.020559086939
5,CALIBRATION,5,1468,1517157367.141580104828,1690254260.8998892,1517157367.141580104828,1517157367.241112947464,0.099532842636,0.000958183676,0.032711446657
6,CALIBRATION,6,1892,1517157409.903671026230,1690254303.6627734,1517157409.903671026230,1517157410.003143072128,0.099472045898,0.001028655540,0.010738095499
7,CALIBRATION,7,2008,1517157421.602704048157,1690254315.3615484,1517157421.602704048157,1517157421.702236890793,0.099532842636,0.002769130348,0.019662413273
8,CALIBRATION,8,2354,1517157456.498140096664,1690254350.2597764,1517157456.498140096664,1517157456.597672939301,0.099532842636,0.188031115556,0.145586435063
9,CALIBRATION,9,2757,1517157497.142230033875,1690254390.9024231,1517157497.142230033875,1517157497.241763114929,0.099533081055,0.002670020352,0.017558809183
10,VALIDATION,0,105,1517157229.677810907364,1690254123.4363863,1517157229.677810907364,1517157229.777343988419,0.099533081055,0.129672052121,0.106896633555
11,VALIDATION,0,264,1517157245.713576078415,1690254139.4722497,1517157245.713576078415,1517157245.813108921051,0.099532842636,0.284911415456,0.101449729551
12,VALIDATION,1,560,1517157275.566306114197,1690254169.3275049,1517157275.566306114197,1517157275.665838956833,0.099532842636,0.182029891232,1.118270506191
13,VALIDATION,1,327,1517157252.067328929901,1690254145.826094,1517157252.067328929901,1517157252.166861057281,0.099532127380,0.236806345352,0.108485634574
14,VALIDATION,2,827,1517157302.494278907776,1690254196.253961,1517157302.494278907776,1517157302.593811035156,0.099532127380,0.005201055719,0.024200141812
15,VALIDATION,2,564,1517157275.969746112823,1690254169.728076,1517157275.969746112823,1517157276.069216012955,0.099469900131,0.184767417458,0.510357017943
16,VALIDATION,3,1050,1517157324.984716892242,1690254218.748066,1517157324.984716892242,1517157325.084188938141,0.099472045898,0.201163838631,0.272384934472
17,VALIDATION,3,931,1517157312.983108997345,1690254206.747919,1517157312.983108997345,1517157313.082578897476,0.099469900131,0.199607722043,0.488788475661
18,VALIDATION,4,1353,1517157355.543410062790,1690254249.302829,1517157355.543410062790,1517157355.642942905426,0.099532842636,0.005995777984,0.188880962941
19,VALIDATION,4,1243,1517157344.449480056763,1690254238.2083132,1517157344.449480056763,1517157344.549012899399,0.099532842636,0.055301278403,0.242896605991
20,VALIDATION,5,1397,1517157359.981007099152,1690254253.7396865,1517157359.981007099152,1517157360.080508947372,0.099501848221,0.002104924682,0.046442888017
21,VALIDATION,5,1536,1517157373.999696016312,1690254267.7614036,1517157373.999696016312,1517157374.099168062210,0.099472045898,0.173763990802,0.501178908998
22,VALIDATION,6,1840,1517157404.659254074097,1690254298.4199219,1517157404.659254074097,1517157404.758786916733,0.099532842636,0.002553001207,0.080272162117
23,VALIDATION,6,1943,1517157415.047167062759,1690254308.814441,1517157415.047167062759,1517157415.146699905396,0.099532842636,0.013874487019,0.234647492445
24,VALIDATION,7,1953,1517157416.055706024170,1690254309.8146157,1517157416.055706024170,1517157416.155239105225,0.099533081055,0.000990927947,0.056855787314
25,VALIDATION,7,2101,1517157430.982136964798,1690254324.7445323,1517157430.982136964798,1517157431.081609010696,0.099472045898,0.165889277408,0.346359958225
26,VALIDATION,8,2238,1517157444.799107074738,1690254338.557751,1517157444.799107074738,1517157444.898639917374,0.099532842636,0.220343448548,0.289104007165
27,VALIDATION,8,2496,1517157470.819410085678,1690254364.5834973,1517157470.819410085678,1517157470.918942928314,0.099532842636,0.248659019882,0.118718270034
28,VALIDATION,9,2680,1517157489.376496076584,1690254383.1352818,1517157489.376496076584,1517157489.476028919220,0.099532842636,0.011601596231,0.367195112850
29,VALIDATION,9,2599,1517157481.207323074341,1690254374.966052,1517157481.207323074341,1517157481.306855916977,0.099532842636,0.091008573092,0.787575822408
