selection_index,scan_index,header_stamp,target_header_stamp,header_delta_s,frame_id,point_count,time_valid_count,time_nan_count,time_min,time_max,time_span
0,31,1517157222.214606046677,1517157222.214606046677,0.000000000000,cmu_rc2_velodyne,28882,28882,0,0.000000000,0.100839213,0.100839213
1,105,1517157229.677810907364,1517157229.677810907364,0.000000000000,cmu_rc2_velodyne,28987,28987,0,0.000000000,0.100839451,0.100839451
2,384,1517157257.816044092178,1517157257.816044092178,0.000000000000,cmu_rc2_velodyne,28880,28880,0,0.000000000,0.100839213,0.100839213
3,560,1517157275.566306114197,1517157275.566306114197,0.000000000000,cmu_rc2_velodyne,29009,29009,0,0.000000000,0.100839213,0.100839213
4,742,1517157293.921727895737,1517157293.921727895737,0.000000000000,cmu_rc2_velodyne,21175,21175,0,0.000000000,0.100777462,0.100777462
5,827,1517157302.494278907776,1517157302.494278907776,0.000000000000,cmu_rc2_velodyne,28926,28926,0,0.000000000,0.100838497,0.100838497
6,848,1517157304.612215995789,1517157304.612215995789,0.000000000000,cmu_rc2_velodyne,28946,28946,0,0.000000000,0.100838259,0.100838259
7,1050,1517157324.984716892242,1517157324.984716892242,0.000000000000,cmu_rc2_velodyne,28988,28988,0,0.000000000,0.100778416,0.100778416
8,1298,1517157349.996475934982,1517157349.996475934982,0.000000000000,cmu_rc2_velodyne,28931,28931,0,0.000000000,0.100777462,0.100777462
9,1376,1517157357.863069057465,1517157357.863069057465,0.000000000000,cmu_rc2_velodyne,26254,26254,0,0.000000000,0.100839213,0.100839213
10,1397,1517157359.981007099152,1517157359.981007099152,0.000000000000,cmu_rc2_velodyne,28899,28899,0,0.000000000,0.100808218,0.100808218
11,1468,1517157367.141580104828,1517157367.141580104828,0.000000000000,cmu_rc2_velodyne,28961,28961,0,0.000000000,0.100839213,0.100839213
12,1706,1517157391.144803047180,1517157391.144803047180,0.000000000000,cmu_rc2_velodyne,29086,29086,0,0.000000000,0.100839213,0.100839213
13,1892,1517157409.903671026230,1517157409.903671026230,0.000000000000,cmu_rc2_velodyne,28912,28912,0,0.000000000,0.100778416,0.100778416
14,2008,1517157421.602704048157,1517157421.602704048157,0.000000000000,cmu_rc2_velodyne,28984,28984,0,0.000000000,0.100839213,0.100839213
15,2101,1517157430.982136964798,1517157430.982136964798,0.000000000000,cmu_rc2_velodyne,29031,29031,0,0.000000000,0.100778416,0.100778416
16,2238,1517157444.799107074738,1517157444.799107074738,0.000000000000,cmu_rc2_velodyne,29079,29079,0,0.000000000,0.100839213,0.100839213
17,2354,1517157456.498140096664,1517157456.498140096664,0.000000000000,cmu_rc2_velodyne,28972,28972,0,0.000000000,0.100839213,0.100839213
18,2680,1517157489.376496076584,1517157489.376496076584,0.000000000000,cmu_rc2_velodyne,28827,28827,0,0.000000000,0.100839213,0.100839213
19,2757,1517157497.142230033875,1517157497.142230033875,0.000000000000,cmu_rc2_velodyne,26833,26833,0,0.000000000,0.100839451,0.100839451
