selection_index,scan_index,stamp,raw_points,voxel_points,L_direct_median,L_direct_p75,L_direct_p90,L_direct_p95,L_direct_lt025,L_direct_lt05,L_direct_lt1,L_direct_lt2,L_direct_n,L_conjugate_median,L_conjugate_p75,L_conjugate_p90,L_conjugate_p95,L_conjugate_lt025,L_conjugate_lt05,L_conjugate_lt1,L_conjugate_lt2,L_conjugate_n,I_direct_median,I_direct_p75,I_direct_p90,I_direct_p95,I_direct_lt025,I_direct_lt05,I_direct_lt1,I_direct_lt2,I_direct_n,I_conjugate_median,I_conjugate_p75,I_conjugate_p90,I_conjugate_p95,I_conjugate_lt025,I_conjugate_lt05,I_conjugate_lt1,I_conjugate_lt2,I_conjugate_n
0,31,1517157222.214606,28882,2537,0.2888676003231156,0.4381067266279198,0.9763669177566249,2.0236109742102193,0.37879385100512414,0.7863618446984627,0.9002759164367363,0.9491525423728814,2537,0.19195336783595238,0.36306347614323964,0.6626645058552693,0.9084331452074478,0.6109578242018132,0.8525817895151754,0.9601891998423334,0.9779266850610958,2537,0.30032711618691765,0.43611561898143664,0.986323306423262,2.082838557248444,0.36381553015372486,0.7891210090658258,0.9010642491131258,0.946787544343713,2537,0.2056794142346585,0.3731443126320521,0.6320313453152996,0.9275606364848518,0.58730784391013,0.8533701221915648,0.9554592037839968,0.9783208513992905,2537
1,105,1517157229.677811,28987,2246,0.35640490340166286,0.7160956968113903,1.0874675135405631,1.5398977126702365,0.2497773820124666,0.6006233303650935,0.8757791629563668,0.9723953695458593,2246,1.4638942085164626,3.48121464545112,5.8407626403611115,9.966807861850207,0.10195903829029386,0.1856634016028495,0.41362422083704364,0.5881567230632235,2246,0.33736983839848766,0.6998048038833895,1.0850791406242906,1.5692938745475065,0.25512021371326804,0.6104185218165628,0.877560106856634,0.9715048975957258,2246,1.4410364356668868,3.5182651490658943,5.821690888849801,9.99530482723704,0.09928762243989314,0.19367764915405164,0.41184327693677647,0.5894924309884239,2246
2,384,1517157257.816044,28880,2652,6.5638784519869,7.226658179699401,7.911427268602724,8.83835742590034,0.0,0.0003770739064856712,0.0022624434389140274,0.005656108597285068,2652,7.279370248069364,8.27437987773057,10.768979059088467,14.167397860877209,0.0,0.0,0.0,0.0,2652,6.541496934780722,7.211756676619494,7.934832550398697,8.877838355871754,0.0011312217194570137,0.0011312217194570137,0.0022624434389140274,0.005279034690799397,2652,7.254244426496988,8.274823972171577,10.80103660143707,14.198057527443842,0.0,0.0,0.0,0.0,2652
3,560,1517157275.566306,29009,2404,10.986997803994203,11.566565976141494,12.114945965935611,12.529001270349115,0.0,0.0,0.0,0.0,2404,11.56105882793804,12.144628286328759,14.080969647666794,17.269857471126404,0.0,0.0,0.0,0.0,2404,10.963640458421992,11.545489063772667,12.12135497176232,12.537685741313714,0.0,0.0,0.0,0.0,2404,11.534791114645296,12.113153277077211,14.021476151528272,17.22276045894399,0.0,0.0,0.0,0.0,2404
4,742,1517157293.921728,21175,2273,13.916000811390788,14.524080341490475,14.93435155807698,15.049891379736243,0.0,0.0,0.0,0.0,2273,13.826801576751283,14.392415887865683,14.631795884324674,14.744216924817138,0.0,0.0,0.0,0.0,2273,13.8882622661014,14.494076757104333,14.91974995576662,15.039164962535178,0.0,0.0,0.0,0.0,2273,13.800862647015498,14.362671878486124,14.601243786598456,14.718007136874816,0.0,0.0,0.0,0.0,2273
5,827,1517157302.494279,28926,3182,14.078035901380854,14.66949025754503,15.042181948290079,15.111814442761654,0.0,0.0,0.0,0.0,3182,14.396981512230337,14.880587366672014,15.648427722040221,16.46453764913838,0.0,0.0,0.0,0.0,3182,14.05757372198461,14.644663473373415,15.019631083486765,15.095427991983247,0.0,0.0,0.0,0.0,3182,14.37328250024106,14.856241208688838,15.675744272038353,16.437953619689086,0.0,0.0,0.0,0.0,3182
6,848,1517157304.612216,28946,3195,14.057820372126118,14.660297759458096,15.037538304543173,15.1122667344493,0.0,0.0,0.0,0.0,3195,14.378867119063525,14.86977717748769,15.60223020363497,16.444925886525535,0.0,0.0,0.0,0.0,3195,14.043585883747715,14.634412659624294,15.018352308689488,15.093286322489243,0.0,0.0,0.0,0.0,3195,14.36229872651422,14.847989150031822,15.638543316628557,16.4557659991932,0.0,0.0,0.0,0.0,3195
7,1050,1517157324.984717,28988,2461,16.580899544103634,17.172109656595634,17.49257061630255,17.704140217073977,0.0,0.0,0.0,0.0,2461,17.2426124017299,17.80901572412307,19.314975720306332,21.791686142198525,0.0,0.0,0.0,0.0,2461,16.55426957012303,17.154725356750014,17.47907583324724,17.700196559834065,0.0,0.0,0.0,0.0,2461,17.195325123294932,17.77608214575148,19.296693716354735,21.778318764647786,0.0,0.0,0.0,0.0,2461
8,1298,1517157349.996476,28931,1601,19.78897466409196,20.236491765030774,20.558656704839812,20.870457954201296,0.0,0.0,0.0,0.0,1601,20.354173861842423,20.76875637708022,22.039190474355706,23.96198890310325,0.0,0.0,0.0,0.0,1601,19.74702691654929,20.210256153366952,20.551525675255935,20.870280932021885,0.0,0.0,0.0,0.0,1601,20.297451578405518,20.72786606500124,21.936933275637603,23.83483218469793,0.0,0.0,0.0,0.0,1601
9,1376,1517157357.863069,26254,1871,19.74462066609734,20.245862214172902,20.51197314866406,20.715653859405034,0.0,0.0,0.0,0.0,1871,20.072814382095927,20.5084395078648,21.520215929380722,22.47426242406399,0.0,0.0,0.0,0.0,1871,19.720671781751832,20.219328048895647,20.49748902925486,20.704674035139014,0.0,0.0,0.0,0.0,1871,20.038061705476146,20.47387933895369,21.452042185338478,22.41904000032973,0.0,0.0,0.0,0.0,1871
10,1397,1517157359.981007,28899,1940,19.704179210421884,20.200730001022542,20.494542294191422,20.704797718625887,0.0,0.0,0.0,0.0,1940,19.890290621887154,20.30635779463059,20.654932365978382,20.877247181633834,0.0,0.0,0.0,0.0,1940,19.677638571080255,20.178043186085368,20.471089531752305,20.68051551970831,0.0,0.0,0.0,0.0,1940,19.851772692111194,20.269844049091226,20.614992367072926,20.83973166955265,0.0,0.0,0.0,0.0,1940
11,1468,1517157367.14158,28961,2180,19.613457877260693,20.117927614734,20.382793909276415,20.530037795952158,0.0,0.0,0.0,0.0,2180,19.968839168167253,20.627462928267086,21.342030103129762,22.672204014464786,0.0,0.0,0.0,0.0,2180,19.581283147833133,20.08804841339104,20.35345708419891,20.49106814691999,0.0,0.0,0.0,0.0,2180,19.939600949157025,20.56380926820124,21.27718263193274,22.73061881165269,0.0,0.0,0.0,0.0,2180
12,1706,1517157391.144803,29086,2519,15.82382579070724,16.446328166389996,16.848480311093592,17.04419019679947,0.0,0.0,0.0,0.0,2519,16.531447732136712,17.268836441837077,19.42345661692592,22.890565158429823,0.0,0.0,0.0,0.0,2519,15.780885761634506,16.404361020430706,16.79323780310483,16.97828747859101,0.0,0.0,0.0,0.0,2519,16.500863270845947,17.230459492845434,19.342005568784625,22.969288588796847,0.0,0.0,0.0,0.0,2519
13,1892,1517157409.903671,28912,3030,14.137373147826858,14.723740163123807,15.051390769663476,15.122357480126961,0.0,0.0,0.0,0.0,3030,14.69880437366113,15.278961520414724,16.654670052579533,17.513959989596614,0.0,0.0,0.0,0.0,3030,14.081106180098,14.674207135623858,15.001239031239496,15.073631888813882,0.0,0.0,0.0,0.0,3030,14.655220038324904,15.212158891100296,16.534347007639667,17.40163102175814,0.0,0.0,0.0,0.0,3030
14,2008,1517157421.602704,28984,2833,13.931400982918383,14.522470288569382,14.976082940472475,15.064280605516876,0.0,0.0,0.0,0.0,2833,14.287639840586538,14.816168531078908,15.734728804157172,18.750781779680388,0.0,0.0,0.0,0.0,2833,13.90066531955707,14.49020826605179,14.930180580290367,15.011242069774738,0.0,0.0,0.0,0.0,2833,14.250907235383389,14.782724817150454,15.757903654476735,18.79691684812324,0.0,0.0,0.0,0.0,2833
15,2101,1517157430.982137,29031,2422,12.350951291261413,12.926561337041274,13.33284979431993,13.60276007065941,0.0,0.0,0.0,0.0,2422,12.57030050965016,13.084968258511466,13.609194855297734,13.969923678599327,0.0,0.0,0.0,0.0,2422,12.303487702111655,12.869663483514032,13.277964717860536,13.531857590749304,0.0,0.0,0.0,0.0,2422,12.516321917659866,13.029667800127543,13.500582728315452,13.908434573359923,0.0,0.0,0.0,0.0,2422
16,2238,1517157444.799107,29079,2442,8.996249743856314,9.58285783479647,10.035302728751473,10.277452921117453,0.0,0.0,0.0,0.000819000819000819,2442,9.51761637290885,10.150045391531144,11.230920347893687,12.183699543173681,0.0,0.0,0.0,0.0004095004095004095,2442,8.953747787721444,9.540434916555537,9.981824758056021,10.219935656466618,0.0,0.0,0.0,0.000819000819000819,2442,9.485061762569524,10.089702785609923,11.154853864285927,12.118741900519588,0.0,0.0,0.0,0.0004095004095004095,2442
