frame_index,stamp,time_s,dt_s,gt_inc_t_m,gt_inc_r_deg,pred_inc_t_error_m,pred_inc_r_error_deg,ndt_inc_t_error_m,ndt_inc_r_error_deg,predictor_chain_abs_t_error_m,predictor_chain_abs_r_error_deg,ndt_chain_abs_t_error_m,ndt_chain_abs_r_error_deg,predictor_abs_t_error_m,predictor_abs_r_error_deg,ndt_used_abs_t_error_m,ndt_used_abs_r_error_deg,corrected_abs_t_error_m,corrected_abs_r_error_deg,ndt_correction_t_m,ndt_correction_r_deg,gt_required_correction_t_m,gt_required_correction_r_deg,fitness,iterations,converged,step_limited
1,1660857393.702086449,0.504279375076294,,,,,,,,0.0,0.0,0.0,0.0,0.025754079843536105,0.7904902701805577,0.0009573683528405895,0.00695287157106112,1.4304896245381992e-17,9.593501093139997e-17,0.026708871930172108,0.7974401457844765,0.0257540798435361,0.7904902701805575,0.32832103752210967,1,1,0
2,1660857393.802946329,0.6051392555236816,0.1008598804473877,0.0018937285702295492,0.06983855132906505,0.0024584759933123346,0.07059065677446395,0.010677229195977559,0.5109845443980747,0.0024584759933123316,0.07059065677446398,0.010677229195977567,0.5109845443980745,0.002458475993312345,0.07059065677446395,0.011568260375510585,0.5169678800181341,0.0062935476276514656,0.26874552883428976,0.01261605718351844,0.5039178937833199,0.0024584759933123515,0.07059065677446404,0.321928306501972,1,1,0
3,1660857393.903806210,0.7059991359710693,0.1008598804473877,0.003830190146643834,0.09863566802064827,0.009603677004879059,0.0983857137872611,0.009835929320716613,0.2960603100736041,0.011534919334209566,0.02889670260810593,0.013755355781332954,0.796503716143238,0.01359246154507328,0.25214202933885055,0.01461003607880261,0.8028704597347663,0.014584491902797684,0.4325844115763769,0.002592116784696869,0.5535529605169899,0.013592461545073304,0.2521420293388507,0.3263926094390315,1,1,0
4,1660857394.004610300,0.8068032264709473,0.10080409049987793,0.0038290841943831385,0.09861566167399631,0.012345225075058034,0.09892743263057596,0.019082990838791957,0.12111799750948672,0.02380810464781487,0.12721121529670637,0.032204749854059064,0.8885231681516238,0.026156866345079334,0.4387633889547805,0.03293750134858169,0.8950737204159093,0.030023114376200727,0.553718864814967,0.007309726178366004,0.47126935345729903,0.026156866345079292,0.4387633889547803,0.31931565542783313,1,1,0
5,1660857394.105470419,0.9076633453369141,0.1008601188659668,0.008133981513043237,0.01367434521292332,0.0053973788984976,0.01397051904735505,0.004781270058855397,0.3285588132841401,0.028282618955219496,0.12333125567815204,0.0342575491650342,1.0820953743811925,0.035213546032954575,0.5561826173296155,0.03492417124340644,1.0878840096038658,0.03550847358332152,0.6518314910287333,0.004169352698324509,0.602769261860308,0.03521354603295458,0.5561826173296158,0.3069352929245984,1,1,0
6,1660857394.206330538,1.0085234642028809,0.1008601188659668,0.008136432755862195,0.013683063618309578,0.0077620644875626196,0.013731453580791359,0.003437276617182913,0.01903551357934831,0.03588645619620826,0.12013787504877331,0.03637517984368669,1.0823992215578049,0.04330203518004974,0.6552344527368292,0.037042176854148144,1.0881297470059368,0.04072899779703118,0.7165866177766063,0.007675037429224572,0.4848516862374045,0.04330203518004974,0.6552344527368292,0.3360099384568249,1,1,0
7,1660857394.307190418,1.1093833446502686,0.1008598804473877,0.011009373104216699,0.05661016395685424,0.0286179350874911,0.057588086791654815,0.03606955484009267,0.32792818905602156,0.06442820171971192,0.06921807551352006,0.0712967418700757,1.3185931939271998,0.06888636023931083,0.7387000660259764,0.07182617613405774,1.323513589654101,0.07040887128253942,0.81562939724576,0.010066328279607753,0.6623700736592585,0.06888636023931081,0.7387000660259766,0.33351111461698957,1,1,0
8,1660857394.408050537,1.2102434635162354,0.1008601188659668,0.01101324351633069,0.0566209416941377,0.031928929381479766,0.057458782456353816,0.026948531126307147,0.03524521355528746,0.0962688357547304,0.04313151513174724,0.09810457241442325,1.3423444019927668,0.10218668890136168,0.8450670197782654,0.09860361366417303,1.347309845923283,0.10105379736350915,0.8999657537946493,0.009560651770225461,0.5375567997518697,0.10218668890136169,0.8450670197782657,0.3346557923592211,1,1,0
9,1660857394.508910418,1.311103343963623,0.1008598804473877,0.004544453989857706,0.17911138750748332,0.025441552022714045,0.17828910789065294,0.02774212745177235,0.13630053022931143,0.12167377051032738,0.18307310202624877,0.12567832178207464,1.2918458242715678,0.12649554619437706,0.8324640501261645,0.12615033535070158,1.2972466387090205,0.1266330581336371,0.8784002448102725,0.01212750037881843,0.5301180263654014,0.12649554619437703,0.8324640501261646,0.3229963293439401,1,1,0
10,1660857394.609770536,1.4119634628295898,0.1008601188659668,0.004544431772602851,0.17916017011868293,0.02837778996276236,0.17767037919605422,0.02714793762689491,0.4062573796113644,0.1500310843002779,0.35811330598936264,0.15256712158838961,1.156015382756238,0.1550186722427502,0.8384308371910982,0.15305396479363512,1.1624868205826933,0.15467515755247782,0.8677472281229814,0.007411731881077687,0.3391665974452806,0.1550186722427502,0.8384308371910986,0.3052685663295207,1,1,0
