segment,method,count,x_rmse,y_rmse,z_rmse,roll_rmse,pitch_rmse,yaw_rmse
all,visual,1802,0.02131520419520814,0.01342055651032026,0.014976685434160536,0.494128033665079,0.4044684920884164,0.39936805525875146
all,ikfom,1802,0.2134094524441692,0.12359551974909865,0.02787130467590151,0.4697400860185599,0.3738628850569315,0.37920567899759344
150-end,visual,1093,0.02103386446383668,0.01239815936443186,0.01275481833446805,0.4800279916975253,0.3929831063438897,0.39536616012750453
150-end,ikfom,1093,0.2735560267104256,0.15809610504524932,0.032496087601121604,0.4477628730757159,0.3515314527059933,0.3506534932116078
0-50,visual,234,0.007327422504414689,0.003636799232248677,0.00467981579722015,0.3076831465325578,0.22794640824135953,0.22145735336528488
0-50,ikfom,234,0.012806917289992618,0.004765563688796327,0.004695995720500016,0.29423541028466815,0.2326032139180865,0.1915949933323742
50-100,visual,55,0.01852272007648185,0.00868415437270678,0.01150299767440119,0.6085077559314795,0.3967948085028095,0.2930777677169693
50-100,ikfom,55,0.01237949785009634,0.009112951885434591,0.01449161762593164,0.5143977740283324,0.40908985396647213,0.2655304524427755
100-150,visual,420,0.02689106676597895,0.018854586589233138,0.022571218571943823,0.5887967103220578,0.5004318151129904,0.4888220057628693
100-150,ikfom,420,0.023421032585562985,0.021731520905045945,0.02334508170830587,0.5848741090267896,0.4754448983944168,0.5170002044097608
150-200,visual,423,0.015083015134688512,0.014647892593922044,0.016970582265923597,0.6309776475593535,0.4719411678234007,0.452699973868767
150-200,ikfom,423,0.22009911360295026,0.15485512755633482,0.030985355291798886,0.5988474074144993,0.43688351023734256,0.46271830536347697
200-250,visual,67,0.020929930024627005,0.008391071276847623,0.010064806934387988,0.43041933833004875,0.39845858863291067,0.32100392420693824
200-250,ikfom,67,0.19578517046219696,0.16489935941571027,0.06941521270325372,0.47935368732091765,0.3640026774678082,0.33308687946316634
250-300,visual,202,0.03829230414163109,0.014125509283061347,0.010503783428607487,0.41345563133496666,0.3823932359135875,0.40116120409926703
250-300,ikfom,202,0.12648526160539486,0.11184317691540821,0.01789966928488599,0.34498502317877905,0.33321073109968946,0.2555227625890409
300-350,visual,55,0.02433810040074849,0.0173803736709672,0.017599562269101317,0.5502938851365164,0.3964287938525432,0.6658625015463101
300-350,ikfom,55,0.17536657231999228,0.017961294040434395,0.02856439103318848,0.468324876857302,0.35572395541290647,0.4263935769147685
350-end,visual,346,0.009189042497141805,0.0067176319225931355,0.005344010861783033,0.2395059902200306,0.27288666937426126,0.2426124047157635
350-end,ikfom,346,0.39435809849170916,0.19240550471973591,0.030204046538027433,0.21465479935387033,0.2154775430538649,0.19534422785898328
