transaction_id,scan_end_ns,image_index,image_ns,signed_mismatch_ms,abs_mismatch_ms,eligible
1,1660857393702086285,28,1660857393704842966,2.756681,2.756681,1
2,1660857393802946404,30,1660857393786305998,-16.640406,16.640406,1
3,1660857393903806285,33,1660857393908525486,4.719201,4.719201,1
4,1660857394004610375,35,1660857393989997350,-14.613025,14.613025,1
5,1660857394105470255,38,1660857394112203838,6.733583,6.733583,1
6,1660857394206330374,40,1660857394193683222,-12.647152,12.647152,1
7,1660857394307190255,42,1660857394315901478,8.711223,8.711223,1
8,1660857394408050373,44,1660857394397370190,-10.680183,10.680183,1
9,1660857394508910254,47,1660857394519585350,10.675096,10.675096,1
10,1660857394609770373,49,1660857394601056710,-8.713663,8.713663,1
11,1660857394710630253,52,1660857394723268574,12.638321,12.638321,1
12,1660857394811489418,54,1660857394804753086,-6.736332,6.736332,1
13,1660857394912349299,57,1660857394926956902,14.607603,14.607603,1
14,1660857395013154343,59,1660857395008447158,-4.707185,4.707185,1
15,1660857395114014462,62,1660857395130652646,16.638184,16.638184,1
16,1660857395214874342,64,1660857395212127838,-2.746504,2.746504,1
17,1660857395315734461,67,1660857395334336774,18.602313,18.602313,1
18,1660857395416594341,69,1660857395415807742,-0.786599,0.786599,1
19,1660857395517454460,71,1660857395497274030,-20.18043,20.18043,0
20,1660857395618314341,74,1660857395619490966,1.176625,1.176625,1
21,1660857395719174460,76,1660857395700967678,-18.206782,18.206782,1
22,1660857395820034340,79,1660857395823180446,3.146106,3.146106,1
23,1660857395920894459,81,1660857395904671646,-16.222813,16.222813,1
24,1660857396021698311,84,1660857396026882678,5.184367,5.184367,1
25,1660857396122558430,86,1660857396108396710,-14.16172,14.16172,1
26,1660857396223418311,88,1660857396230573766,7.155455,7.155455,1
27,1660857396324278429,90,1660857396312038766,-12.239663,12.239663,1
28,1660857396425138310,93,1660857396434254902,9.116592,9.116592,1
29,1660857396525998429,95,1660857396515720870,-10.277559,10.277559,1
30,1660857396626858309,98,1660857396637936350,11.078041,11.078041,1
31,1660857396727715165,100,1660857396719405734,-8.309431,8.309431,1
32,1660857396828577355,103,1660857396841649614,13.072259,13.072259,1
33,1660857396929437473,105,1660857396923118062,-6.319411,6.319411,1
34,1660857397030242279,108,1660857397045303838,15.061559,15.061559,1
35,1660857397131102398,110,1660857397126780454,-4.321944,4.321944,1
36,1660857397231962279,113,1660857397249019254,17.056975,17.056975,1
37,1660857397332822397,115,1660857397330480062,-2.342335,2.342335,1
38,1660857397433682278,118,1660857397452681742,18.999464,18.999464,1
39,1660857397534542397,120,1660857397534155606,-0.386791,0.386791,1
40,1660857397635402278,122,1660857397615633838,-19.76844,19.76844,1
41,1660857397736262396,125,1660857397737842934,1.580538,1.580538,1
42,1660857397837122277,127,1660857397819318838,-17.803439,17.803439,1
43,1660857397937982395,130,1660857397941528478,3.546083,3.546083,1
44,1660857398038786486,131,1660857398023000998,-15.785488,15.785488,1
45,1660857398139646366,134,1660857398145220318,5.573952,5.573952,1
46,1660857398240506485,136,1660857398226690478,-13.816007,13.816007,1
47,1660857398341366366,139,1660857398348900414,7.534048,7.534048,1
48,1660857398442226484,141,1660857398430375254,-11.85123,11.85123,1
49,1660857398543086365,144,1660857398552582806,9.496441,9.496441,1
50,1660857398643946484,146,1660857398634069510,-9.876974,9.876974,1
51,1660857398744805410,149,1660857398756270998,11.465588,11.465588,1
