mode,threshold_m,crossing_s
BASELINE,0.25,28.03748917579651
BASELINE,0.5,84.91932845115662
BASELINE,1.0,93.5928385257721
BASELINE,2.0,151.48321318626404
BASELINE,5.0,157.43361401557922
VISUAL_XYZ_005,0.25,28.03748917579651
VISUAL_XYZ_005,0.5,84.91932845115662
VISUAL_XYZ_005,1.0,93.5928385257721
VISUAL_XYZ_005,2.0,152.79433941841125
VISUAL_XYZ_005,5.0,158.74473810195923
VISUAL_XY_005,0.25,28.03748917579651
VISUAL_XY_005,0.5,84.91932845115662
VISUAL_XY_005,1.0,93.5928385257721
VISUAL_XY_005,2.0,152.5926194190979
VISUAL_XY_005,5.0,158.74473810195923
VISUAL_XYZ_003,0.25,28.03748917579651
VISUAL_XYZ_003,0.5,84.91932845115662
VISUAL_XYZ_003,1.0,93.5928385257721
VISUAL_XYZ_003,2.0,153.19772338867188
VISUAL_XYZ_003,5.0,160.86262917518616
VISUAL_XYZ_010,0.25,28.03748917579651
VISUAL_XYZ_010,0.5,84.91932845115662
VISUAL_XYZ_010,1.0,93.5928385257721
VISUAL_XYZ_010,2.0,151.88659954071045
VISUAL_XYZ_010,5.0,157.73619413375854
