mode,segment,count,t_mean,t_rmse,t_median,t_p95,t_max,r_mean,r_rmse,r_median,r_p95,r_max
BASELINE,all,4126,14.660182042205129,21.936132729375835,6.034344271830073,46.757084095160685,54.298934504711355,7.6021256296461,9.906078073266109,5.256541785546884,19.08964428500653,22.682863869442393
BASELINE,150-end,2644,22.443868635217253,27.392906834641643,20.19096570197663,50.42933903691806,54.298934504711355,10.643158040173068,12.175511106160776,11.478670562399532,19.74766190953088,22.682863869442393
BASELINE,0-50,491,0.23346344869978333,0.2524884207820452,0.2244169506151927,0.4056383773969966,0.43868304157282106,1.5082348170023114,1.9980265244019741,0.9858584625007817,4.210234936798446,5.314630985665611
BASELINE,50-100,496,0.5447445655942053,0.6271268632277925,0.4636913598937501,1.178007430489576,1.2022258194156574,1.8778050580166121,2.2499411790168984,1.6406334791695802,3.8951085191094217,12.468297722901362
BASELINE,100-150,495,1.5383809631871106,1.5556363203801031,1.5469048909208862,1.8128152209535018,2.2426020826654045,3.139244213692615,4.134185094604893,2.0408356839805335,9.504708449604788,10.106850765150057
BASELINE,150-200,496,18.64581247309658,22.968057571835548,13.153068870734147,44.582254272358995,45.59630877017077,12.482428113148856,12.605871557383871,12.359547485217025,14.545247257821694,21.097128116840842
BASELINE,200-250,495,26.28137656810839,28.16081877384434,28.06050774702623,40.617952460541815,41.24335607853048,17.98083695823062,18.106244183369633,17.50300299365811,21.65294037686125,22.682863869442393
BASELINE,250-300,496,13.437909577888163,17.154813677052317,7.139432118955655,33.596109630587236,33.73334927281516,15.410936326854536,15.549935270124106,15.372860869519048,19.474022504284218,20.080059957106144
BASELINE,300-350,496,6.999279125677945,8.061316427252054,5.808835597706331,17.32255016103639,27.4351356949722,4.946075816956198,5.469157044939295,4.08375327872284,10.205564725047662,12.806758457387811
BASELINE,350-end,661,40.767229480599205,41.73934484260686,40.674295819182404,53.36940041349662,54.298934504711355,4.465405743481811,4.933478678746595,4.742536695487557,7.598507083461576,9.493194791454831
VISUAL_XYZ_005,all,4126,14.632980559951735,21.931998954950288,6.036275770137087,47.45858397883955,54.30566400308956,7.742615905543392,10.088683193587558,5.200575476120131,19.563273846804176,23.3933356294356
VISUAL_XYZ_005,150-end,2644,22.400527682796135,27.387794497286837,20.160806646207803,50.89996585088759,54.30566400308956,10.851492603945747,12.41043749490537,11.531433141203923,20.277632491819364,23.3933356294356
VISUAL_XYZ_005,0-50,491,0.24763251114073392,0.267484950334729,0.2482230275524899,0.42930055118070787,0.4708192716710118,1.5777766449357034,2.0184853603085604,1.118482597225529,4.198170888367203,5.281468172791124
VISUAL_XYZ_005,50-100,496,0.542905353226772,0.6279889792653057,0.46762213075321746,1.1877588223459363,1.2102318076893381,1.8858832525826217,2.256102557829621,1.6381815801400672,3.8967306969067836,12.480199383200825
VISUAL_XYZ_005,100-150,495,1.5309373310652867,1.5477554753242024,1.5421017702779225,1.8560773278895846,1.9404820962414673,3.1204047585759027,4.06993098233048,2.060898844354263,9.309468047948682,9.828301463976185
VISUAL_XYZ_005,150-200,496,18.17968107464316,22.61719821420356,12.87953501610825,43.71710385962122,44.5689444579326,13.030259213404898,13.270728574775179,12.346726752851016,17.884917591459566,23.3933356294356
VISUAL_XYZ_005,200-250,495,26.347946354720342,28.178403448589336,28.25382351748529,40.65088165946943,41.25743961418336,18.200096838938,18.34345836509103,17.5450242341173,22.137822064232104,22.96211024413807
VISUAL_XYZ_005,250-300,496,13.601477850380574,17.321816919696634,7.175796502388904,33.6608005587753,33.85335595759288,15.504564673397136,15.64819643553939,15.48429967748351,19.793340773282736,20.598891834600874
VISUAL_XYZ_005,300-350,496,6.91993364765288,7.966942496804437,5.803689112889255,16.24231877300395,27.552887972529057,4.958952410535687,5.541623699441814,4.056986167943524,10.245802474665645,12.62259358028647
VISUAL_XYZ_005,350-end,661,40.830589760482304,41.822564859535284,40.581108240301184,53.35637238801443,54.30566400308956,4.643548360179633,5.015877612177869,4.8314461736587875,7.650797771142892,9.44273685414593
VISUAL_XY_005,all,4126,14.634948542937327,21.92997975039049,6.042502729700313,47.46019300084501,54.307211522721275,7.744003699144594,10.088728418109035,5.234882947499393,19.557650515132828,23.411572605075083
VISUAL_XY_005,150-end,2644,22.399534598328913,27.385062478510566,20.176997106347528,50.91394891664449,54.307211522721275,10.853691924665918,12.410503665872678,11.526244979411436,20.267725552230303,23.411572605075083
VISUAL_XY_005,0-50,491,0.247041004004278,0.2663787448294772,0.24006303446042762,0.4260638537222728,0.46961587929319165,1.577878366823206,2.0183206926851733,1.1183132084549752,4.198609505411849,5.280894164971297
VISUAL_XY_005,50-100,496,0.5426201378166127,0.6277002941680708,0.46626874657085227,1.1790234708089766,1.207695556554505,1.885368339064188,2.255629100608012,1.6383167298091479,3.896332110730745,12.479987722628806
VISUAL_XY_005,100-150,495,1.5535181593022447,1.567659494911129,1.5494404197285916,1.852743195907475,1.9433572469914888,3.1206400799351024,4.070131599488622,2.058160599674658,9.308423698733408,9.826672534466471
VISUAL_XY_005,150-200,496,18.179891486247,22.60926790729955,13.011126326122874,43.71480923164378,44.58650328515979,13.033317068737816,13.274078819720692,12.347590707299567,17.852403039491325,23.411572605075083
VISUAL_XY_005,200-250,495,26.34415592446928,28.17712071795613,28.25272223821162,40.6599432702039,41.2640430093298,18.1930344932193,18.33565424761051,17.502445438619894,22.102187171545477,22.91176673834324
VISUAL_XY_005,250-300,496,13.599727022004,17.31950915922124,7.171019016713982,33.64846848514651,33.830563627037655,15.504947840085709,15.648456774896564,15.48285375545792,19.78721279401031,20.596140293495875
VISUAL_XY_005,300-350,496,6.926658104732303,7.973037273999856,5.809558627464884,16.22040731232388,27.554569475487025,4.975045256507809,5.556691998093618,4.053763111695849,10.24280533521458,12.609980662212008
VISUAL_XY_005,350-end,661,40.82556595360005,41.819119109975965,40.57372076598118,53.3586344043048,54.307211522721275,4.6429766001040775,5.0181296490634075,4.819429812315956,7.659246581955274,9.47201883966245
VISUAL_XYZ_003,all,4126,14.502024295966827,21.767614612560138,6.031999004801685,48.19444790261272,54.317184057352605,7.816469819610136,10.254142227044323,5.08158999641826,20.03978155915722,30.203120328292332
VISUAL_XYZ_003,150-end,2644,22.19883146529976,27.1824974039832,20.538241765516645,51.16316902237295,54.317184057352605,10.97154039821801,12.622408536605896,11.546296397297855,21.100946097226593,30.203120328292332
VISUAL_XYZ_003,0-50,491,0.24877366237349,0.2646838383051985,0.24493170824369276,0.43012458648680646,0.5012766751628268,1.563754222032127,2.0093450384955447,1.0205411609201798,4.184591745829059,5.266963831291109
VISUAL_XYZ_003,50-100,496,0.5429961880571497,0.6287116272701259,0.47078875524935515,1.1927080146016533,1.215739500173668,1.8866305084856645,2.2573048343227144,1.6457473310090776,3.8972501689706887,12.483387034832223
VISUAL_XYZ_003,100-150,495,1.5154906533430594,1.5360178133051412,1.4838572279421705,1.9841210852830413,2.0900811874247687,3.107938601204719,4.03839122483662,2.0703116546594673,9.22317734956902,9.719047774453712
VISUAL_XYZ_003,150-200,496,17.051304262699016,21.187389504960418,13.27319470431388,39.87766231825957,40.64687411951058,13.32758016132467,13.769900560476662,12.23860951681117,20.23772646627056,30.203120328292332
VISUAL_XYZ_003,200-250,495,26.424655491874315,28.207472369374102,28.30121616355741,40.675762488897334,41.26648844283549,18.468025298797016,18.653234096092113,17.65155210636902,22.957132304683075,25.595460063064955
VISUAL_XYZ_003,250-300,496,13.662226924282605,17.38565598910577,7.172935240630396,33.58378668269645,33.73471303994838,15.537552743514047,15.69982442085936,15.39718264367574,20.423180325624926,21.41921399913134
VISUAL_XYZ_003,300-350,496,6.871740773472597,7.915372839911451,5.810498560356116,14.888679992386205,27.69508247947535,4.999585138016464,5.660195929673863,4.021591433376469,10.982118786794361,13.349122582836634
VISUAL_XYZ_003,350-end,661,40.80364755429575,41.82148736104711,41.07223836610443,53.35537959444666,54.317184057352605,4.644750591116074,5.045970651204818,4.654940588272425,8.266203755479449,9.574832176432073
VISUAL_XYZ_010,all,4126,14.664036160217814,21.95429560407752,6.043812928405857,46.86607542199154,54.300229674747996,7.652745629660466,9.952849831641164,5.29097975594974,19.045487665301117,22.792785076842545
VISUAL_XYZ_010,150-end,2644,22.448909445371463,27.41560173629502,20.172588492800823,50.61298730675612,54.300229674747996,10.711318136974121,12.235686974002345,11.547568886632924,19.770428653882615,22.792785076842545
VISUAL_XYZ_010,0-50,491,0.241726530546347,0.2648915857721737,0.24373744901840397,0.4292483494680001,0.4551196031410012,1.5620009297644286,2.015067621539703,1.116352610084546,4.206844234846915,5.293096434139579
VISUAL_XYZ_010,50-100,496,0.5437092202964675,0.6275840761104404,0.4651813651036334,1.1831417979695207,1.2057235906945103,1.8827439835085273,2.2536656987905275,1.6403714026066272,3.891440590209974,12.474125311183425
VISUAL_XYZ_010,100-150,495,1.5364224721843547,1.5536300444638798,1.5644814743463524,1.8552397303411658,2.180506115768906,3.1388279625958457,4.111286640356806,2.0417642364856596,9.408449911115833,9.969319303540896
VISUAL_XYZ_010,150-200,496,18.574344425819916,22.965608960738596,12.901835086552811,44.58812622829477,45.68636667137332,12.685474688280516,12.82197907590799,12.36679995568355,14.931671131503485,20.667042794023526
VISUAL_XYZ_010,200-250,495,26.299992758890223,28.165802729319992,28.164133395138684,40.628764144302,41.24798729473027,17.997236982677116,18.12206699463515,17.50448752378563,21.764088410026016,22.792785076842545
VISUAL_XYZ_010,250-300,496,13.502577366143377,17.220259533929678,7.21321883522715,33.59867143114261,33.790384145075066,15.439762550447885,15.579197005200216,15.493315584491896,19.488010281917553,20.04823478589027
VISUAL_XYZ_010,300-350,496,6.9710112878518675,8.026276425948701,5.80536362770602,17.154096108576418,27.455652554382407,4.942499813012004,5.477086085423196,4.087160509123875,10.186108794308156,12.751108927648904
VISUAL_XYZ_010,350-end,661,40.79976603679753,41.7822622261428,40.75239183602245,53.369692301146806,54.300229674747996,4.554455779230202,4.9913640347721016,4.909885816397779,7.5861650147347275,9.432652100868767
