mode,segment,count,local_t_rmse_m,visual_updates,duration_s,update_hz
BASELINE,all,4126,0.22830059885130433,0,416.72996616363525,0.0
BASELINE,150-end,2644,0.28439004867209555,0,266.72996616363525,0.0
BASELINE,0-50,491,0.016378843524973857,0,50,0.0
BASELINE,50-100,496,0.02536538259618079,0,50,0.0
BASELINE,100-150,495,0.03783490574087552,0,50,0.0
BASELINE,150-200,496,0.2804334998374872,0,50,0.0
BASELINE,200-250,495,0.2626243071415483,0,50,0.0
BASELINE,250-300,496,0.18337968254148743,0,50,0.0
BASELINE,300-350,496,0.15178198395810388,0,50,0.0
BASELINE,350-end,661,0.41270766484953997,0,66.72996616363525,0.0
VISUAL_XYZ_005,all,4126,0.20003530518575935,1802,416.72996616363525,4.324143081403505
VISUAL_XYZ_005,150-end,2644,0.24897537949192305,1093,266.72996616363525,4.097777297843839
VISUAL_XYZ_005,0-50,491,0.01541759269576045,234,50,4.68
VISUAL_XYZ_005,50-100,496,0.02591092481796399,55,50,1.1
VISUAL_XYZ_005,100-150,495,0.0378875167968674,420,50,8.4
VISUAL_XYZ_005,150-200,496,0.24683837394037098,423,50,8.46
VISUAL_XYZ_005,200-250,495,0.26154489307008566,67,50,1.34
VISUAL_XYZ_005,250-300,496,0.16723650778625915,202,50,4.04
VISUAL_XYZ_005,300-350,496,0.1649750333838723,55,50,1.1
VISUAL_XYZ_005,350-end,661,0.3310571924694401,346,66.72996616363525,5.185076808693993
VISUAL_XY_005,all,4126,0.20066256884146147,1802,416.72996616363525,4.324143081403505
VISUAL_XY_005,150-end,2644,0.24975733859483487,1093,266.72996616363525,4.097777297843839
VISUAL_XY_005,0-50,491,0.015357160444315024,234,50,4.68
VISUAL_XY_005,50-100,496,0.02585400406967562,55,50,1.1
VISUAL_XY_005,100-150,495,0.03810109704492298,420,50,8.4
VISUAL_XY_005,150-200,496,0.24880026624064308,423,50,8.46
VISUAL_XY_005,200-250,495,0.26260472994660394,67,50,1.34
VISUAL_XY_005,250-300,496,0.16747283716272063,202,50,4.04
VISUAL_XY_005,300-350,496,0.16486065975130604,55,50,1.1
VISUAL_XY_005,350-end,661,0.33163550175247186,346,66.72996616363525,5.185076808693993
VISUAL_XYZ_003,all,4126,0.20380761770658545,1802,416.72996616363525,4.324143081403505
VISUAL_XYZ_003,150-end,2644,0.2536762958338357,1093,266.72996616363525,4.097777297843839
VISUAL_XYZ_003,0-50,491,0.015106585341447641,234,50,4.68
VISUAL_XYZ_003,50-100,496,0.02615281781038196,55,50,1.1
VISUAL_XYZ_003,100-150,495,0.03880811867796314,420,50,8.4
VISUAL_XYZ_003,150-200,496,0.2583087682736615,423,50,8.46
VISUAL_XYZ_003,200-250,495,0.28024893234667236,67,50,1.34
VISUAL_XYZ_003,250-300,496,0.1699008471027737,202,50,4.04
VISUAL_XYZ_003,300-350,496,0.1828267158706518,55,50,1.1
VISUAL_XYZ_003,350-end,661,0.31903115652564873,346,66.72996616363525,5.185076808693993
VISUAL_XYZ_010,all,4126,0.20102347964931355,1802,416.72996616363525,4.324143081403505
VISUAL_XYZ_010,150-end,2644,0.2502345328076299,1093,266.72996616363525,4.097777297843839
VISUAL_XYZ_010,0-50,491,0.016120957881922283,234,50,4.68
VISUAL_XYZ_010,50-100,496,0.02550868745402913,55,50,1.1
VISUAL_XYZ_010,100-150,495,0.03713956783559252,420,50,8.4
VISUAL_XYZ_010,150-200,496,0.23370162926974866,423,50,8.46
VISUAL_XYZ_010,200-250,495,0.25422841972157234,67,50,1.34
VISUAL_XYZ_010,250-300,496,0.17106061071929993,202,50,4.04
VISUAL_XYZ_010,300-350,496,0.15108937718579915,55,50,1.1
VISUAL_XYZ_010,350-end,661,0.3492829185684708,346,66.72996616363525,5.185076808693993
