sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Corridor01,registration_counterfactual,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,1517157224.23,ONLINE_BASELINE,0.0105098,0.466095,1.1992e-07,6.63334e-07,-0.01050968008,-0.466094336666,0.999988589697,0.0105097,0.466095,0.474819,1.29871,1,1,,,0.00430736,0.175009,NO_REFERENCE_ANCHOR,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,1517157224.23,ORACLE_RELATIVE,0,8.88992e-16,0.0043073,0.17501,0.0043073,0.17501,-4307300,0.0043073,0.17501,0.475576,1.30067,1,1,,,0.00430736,0.175009,NO_REFERENCE_ANCHOR,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,1517157224.23,PERFECT_INCREMENT,0.00568284,0.409662,0.00349496,0.0226843,-0.00218788,-0.3869777,0.384997642024,0.00703407,0.400032,0.475524,1.29981,1,1,,,0.00430736,0.175009,NO_REFERENCE_ANCHOR,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0052,W0_0_3.068,PHASE0,0.10086,1517157224.33,ONLINE_BASELINE,0.028215,0.112438,0.0254929,0.206086,-0.0027221,0.093648,0.0964770512139,0.00333119,0.142033,0.71714,1.29787,1,1,,,0.0143423,0.0544188,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0052,W0_0_3.068,PHASE0,0.10086,1517157224.33,ORACLE_RELATIVE,0,1.2424e-16,0.0114251,0.154414,0.0114251,0.154414,-11425100,0.0114251,0.154414,0.716878,1.29699,1,1,,,0.0143423,0.0544188,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0052,W0_0_3.068,PHASE0,0.10086,1517157224.33,PERFECT_INCREMENT,0,1.2424e-16,0.0114251,0.154414,0.0114251,0.154414,-11425100,0.0114251,0.154414,0.716878,1.29699,1,1,,,0.0143423,0.0544188,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0053,W0_0_3.068,PHASE0,0.20172,1517157224.43,ONLINE_BASELINE,0.0509797,0.1766,0.0351675,0.276451,-0.0158122,0.099851,0.310166595723,0.0158765,0.112507,0.448831,1.30748,1,1,,,0.0282126,0.224802,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0053,W0_0_3.068,PHASE0,0.20172,1517157224.43,ORACLE_RELATIVE,0,2.56119e-15,0.00766112,0.0555368,0.00766112,0.0555368,-7661120,0.00766112,0.0555368,0.442099,1.30768,1,1,,,0.0282126,0.224802,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0053,W0_0_3.068,PHASE0,0.20172,1517157224.43,PERFECT_INCREMENT,0.0254896,0.206078,0.0193425,0.263586,-0.0061471,0.057508,0.241161100998,0.00727295,0.0833623,0.447522,1.30822,1,1,,,0.0282126,0.224802,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0054,W0_0_3.068,PHASE0,0.30258,1517157224.53,ONLINE_BASELINE,0.058964,0.236843,0.0528728,0.113906,-0.0060912,-0.122937,0.103303710739,0.00909251,0.244949,0.463428,1.30555,1,1,,,0.0293611,0.129564,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0054,W0_0_3.068,PHASE0,0.30258,1517157224.53,ORACLE_RELATIVE,0,1.60265e-15,0.0243953,0.159174,0.0243953,0.159174,-24395300,0.0243953,0.159174,0.46019,1.30821,1,1,,,0.0293611,0.129564,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0054,W0_0_3.068,PHASE0,0.30258,1517157224.53,PERFECT_INCREMENT,0.0351756,0.276431,0.0413344,0.203033,0.0061588,-0.073398,-0.175087276408,0.00620954,0.200492,0.465687,1.30657,1,1,,,0.0293611,0.129564,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0055,W0_0_3.068,PHASE0,0.40344,1517157224.64,ONLINE_BASELINE,0.0708207,0.269942,0.0453751,0.31178,-0.0254456,0.041838,0.359296081513,0.0260351,0.194332,0.43602,1.30323,1,1,,,0.0357074,0.0979349,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0055,W0_0_3.068,PHASE0,0.40344,1517157224.64,ORACLE_RELATIVE,0,6.4605e-16,0.0120778,0.262196,0.0120778,0.262196,-12077800,0.0120778,0.262196,0.435919,1.30993,1,1,,,0.0357074,0.0979349,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0055,W0_0_3.068,PHASE0,0.40344,1517157224.64,PERFECT_INCREMENT,0.052852,0.113906,0.0364435,0.29623,-0.0164085,0.182324,0.310461288125,0.017714,0.223876,0.436148,1.30416,1,1,,,0.0357074,0.0979349,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0056,W0_0_3.068,PHASE0,0.5043,1517157224.74,ONLINE_BASELINE,0.0571509,0.456527,0.0480562,0.397517,-0.0090947,-0.05901,0.15913485177,0.00945072,0.251862,0.44862,1.30925,1,1,,,0.0249711,0.199448,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0056,W0_0_3.068,PHASE0,0.5043,1517157224.74,ORACLE_RELATIVE,0,1.60285e-15,0.0244983,0.250055,0.0244983,0.250055,-24498300,0.0244983,0.250055,0.445869,1.31376,1,1,,,0.0249711,0.199448,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
Corridor01,registration_counterfactual,R6_0056,W0_0_3.068,PHASE0,0.5043,1517157224.74,PERFECT_INCREMENT,0.045338,0.311788,0.0428757,0.364289,-0.0024623,0.052501,0.0543098504566,0.00689327,0.165815,0.447026,1.31196,1,1,,,0.0249711,0.199448,YES,P3-R6 p3_r6_initialization_comparison.csv,固定的、既有 full-SE3 v2 输入云；其 translation deskew 由前序已完成 NDT 位姿提供
