sequence,analysis_window,phase,init_type,n_frames,initial_translation_mean_m,initial_translation_std_m,initial_translation_p95_m,raw_endpoint_translation_mean_m,raw_endpoint_translation_std_m,raw_endpoint_translation_p95_m,raw_endpoint_rotation_mean_deg,raw_endpoint_rotation_std_deg,raw_endpoint_rotation_p95_deg,translation_error_change_mean_m,translation_error_change_median_m,translation_error_change_p95_m,correction_ratio_mean,correction_ratio_median,ndt_displacement_translation_mean_m,ndt_displacement_translation_std_m,ndt_displacement_translation_p95_m,ndt_displacement_rotation_mean_deg,ndt_displacement_rotation_p95_deg,fitness_mean,fitness_std,fitness_p95,transformation_probability_mean,transformation_probability_std,transformation_probability_p95,iterations_mean,iterations_p95,converged_n,translation_limited_n,rotation_limited_n,oracle_strong_retention_n,oracle_strong_retention_rate,paired_baseline_minus_oracle_mean_m,paired_baseline_minus_oracle_median_m,paired_baseline_minus_perfect_mean_m,paired_baseline_minus_perfect_median_m,objective_fitness_oracle_wins_n,objective_fitness_baseline_wins_n,objective_fitness_compared_n,objective_probability_oracle_wins_n,objective_probability_baseline_wins_n,objective_probability_compared_n,p95_method
Corridor01,W0_0_3.068,PHASE0,ONLINE_BASELINE,30,0.135922216667,0.0803533431506,0.30123465,0.128700716667,0.0794162275034,0.2799126,1.556303,1.22264055787,3.456785,-0.0072215,-0.0068895,0.02936955,0.0640389916096,0.0935942975052,0.02489511,0.0220831463155,0.0732908,0.359239713333,1.1167298,0.4411107,0.108551687805,0.6291533,1.31049033333,0.0221031791259,1.3478075,1.23333333333,2,30,0,0,,,0.050740726,0.0225014,0.00479051333333,0.0039505,23,7,30,12,18,30,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W0_0_3.068,PHASE0,ORACLE_RELATIVE,30,0,0,0,0.0779599906667,0.0519986862861,0.1605225,0.861136593333,0.745049667232,2.48575,0.0779599906667,0.07840355,0.1605225,-77959990.6667,-78403550,0.0779599906667,0.0519986862861,0.1605225,0.861136593333,2.48575,0.384428166667,0.129330078597,0.6347035,1.28815133333,0.0374975108814,1.3354055,2.16666666667,4.55,30,0,0,26,0.866666666667,0.050740726,0.0225014,0.00479051333333,0.0039505,23,7,30,12,18,30,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W0_0_3.068,PHASE0,PERFECT_INCREMENT,30,0.12141608,0.0790426298433,0.2745079,0.123910203333,0.0830325315953,0.2917861,1.50427453333,1.21226423606,3.350017,0.00249412333333,0.0006107,0.01893014,-380836.670018,-0.00452489915008,0.018121866,0.0155167303876,0.029424605,0.607796513333,1.8968555,0.4379706,0.107828142777,0.63182485,1.30875733333,0.0219948818393,1.3481105,1.16666666667,2,30,0,0,,,0.050740726,0.0225014,0.00479051333333,0.0039505,23,7,30,12,18,30,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W1_3.068_5.590,PHASE1,ONLINE_BASELINE,25,0.40991128,0.0667814570013,0.5321014,0.40969464,0.0636993135755,0.5256004,3.222892,0.706660155774,4.753784,-0.00021664,0.001212,0.0339124,-0.00192089824618,-0.00315592947591,0.0240591004,0.0145630812582,0.0530086,0.342588108,0.6677492,0.39861448,0.0729127468343,0.5098314,1.2366756,0.0488264206211,1.312344,1.12,2,25,0,0,,,0.29248954,0.312722,-0.00098176,0.002368,24,1,25,2,23,25,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W1_3.068_5.590,PHASE1,ORACLE_RELATIVE,25,0,0,0,0.1172051,0.0726050043314,0.26756,1.26269384,0.732605503762,2.429842,0.1172051,0.0942979,0.26756,-117205100,-94297900,0.1172051,0.0726050043314,0.26756,1.26269384,2.429842,0.28045892,0.048870617777,0.3537182,1.06719368,0.106189659884,1.269,2.6,5.4,25,0,0,19,0.76,0.29248954,0.312722,-0.00098176,0.002368,24,1,25,2,23,25,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W1_3.068_5.590,PHASE1,PERFECT_INCREMENT,25,0.40946336,0.0602885967554,0.517714,0.4106764,0.0644992086218,0.5154314,3.1923504,0.633116194197,4.731178,0.00121304,0.003061,0.0354054,-0.00261424106206,-0.00615308654905,0.0231185556,0.012290817162,0.04935386,0.86639736,2.55151,0.39732652,0.0716591736423,0.4960932,1.234908,0.0492149771411,1.312012,1.52,4.6,25,0,0,,,0.29248954,0.312722,-0.00098176,0.002368,24,1,25,2,23,25,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W2_5.590_6.5,PHASE1,ONLINE_BASELINE,9,0.616484111111,0.0625781283086,0.7128206,0.645213777778,0.130250969892,0.8592278,2.66435444444,0.641911590702,3.286758,0.0287296666667,0.001186,0.1464072,-0.0397430019521,-0.00214451422052,0.0432555444444,0.0753264051601,0.15799636,0.719917166667,2.46852,0.307592888889,0.0801468802706,0.396493,1.29595333333,0.0657757071418,1.404932,1.33333333333,2.8,9,0,0,,,0.446095255556,0.5037807,-0.0313587777778,0.004199,7,2,9,0,9,9,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W2_5.590_6.5,PHASE1,ORACLE_RELATIVE,9,0,0,0,0.199118522222,0.245428651577,0.6324524,1.66631444444,0.678685302278,2.771734,0.199118522222,0.0782684,0.6324524,-199118522.222,-78268400,0.199118522222,0.245428651577,0.6324524,1.66631444444,2.771734,0.281936444444,0.0376963240453,0.3097938,1.01024666667,0.162602260172,1.297798,4,11,9,0,0,6,0.666666666667,0.446095255556,0.5037807,-0.0313587777778,0.004199,7,2,9,0,9,9,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W2_5.590_6.5,PHASE1,PERFECT_INCREMENT,9,0.605411888889,0.051891700019,0.6838842,0.676572555556,0.173872932274,0.9792204,2.51414222222,0.806820139836,3.324148,0.0711606666667,0.002991,0.3322392,-0.110568451849,-0.00503251533226,0.0845234833333,0.138786828635,0.3352374,1.09661933333,3.630974,0.290968666667,0.0946293836144,0.3956258,1.31145555556,0.081205479512,1.452278,2.11111111111,5.6,9,0,0,,,0.446095255556,0.5037807,-0.0313587777778,0.004199,7,2,9,0,9,9,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W1_W2_EARLY_FAILURE_UNION,PHASE1,ONLINE_BASELINE,34,0.464592323529,0.112916292188,0.66222435,0.472037941176,0.134860308866,0.66685925,3.07504382353,0.725001958564,4.064843,0.00744561764706,0.001199,0.03997755,-0.0119326315801,-0.00265022184821,0.0291405120588,0.04004586932,0.058008955,0.442469329412,0.93392425,0.374520529412,0.0841725086349,0.50825505,1.25236676471,0.0590535018191,1.3176745,1.17647058824,2,34,0,0,,,0.333149876471,0.32447305,-0.00902273529412,0.003079,31,3,34,2,32,34,numpy.percentile(method=linear); std uses sample ddof=1
Corridor01,W1_W2_EARLY_FAILURE_UNION,PHASE1,ORACLE_RELATIVE,34,0,0,0,0.138888064706,0.14064791738,0.45861195,1.36953458824,0.73121003657,2.5858645,0.138888064706,0.09339385,0.45861195,-138888064.706,-93393850,0.138888064706,0.14064791738,0.45861195,1.36953458824,2.5858645,0.280850029412,0.0456278239079,0.34532165,1.05211947059,0.123534634207,1.295564,2.97058823529,7.75,34,0,0,25,0.735294117647,0.333149876471,0.32447305,-0.00902273529412,0.003079,31,3,34,2,32,34,numpy.percentile(method=linear); std uses sample ddof=1
