sequence,record_scope,frame,window,phase,relative_time_s,actual_timestamp,init_type,initial_translation_error_m,initial_rotation_error_deg,raw_endpoint_translation_error_m,raw_endpoint_rotation_error_deg,translation_error_change_m,rotation_error_change_deg,correction_ratio_translation,ndt_displacement_translation_m,ndt_displacement_rotation_deg,fitness,transformation_probability,iterations,converged,translation_limited,rotation_limited,baseline_oracle_endpoint_separation_m,baseline_oracle_endpoint_separation_deg,window_stats_inclusion,source,observation_conditioning
Floor01,registration_counterfactual,F01_NDT_0156,W0_PRE,PHASE0,15.0273,1660857408.23,ONLINE_BASELINE,0.1012,0.76171,0.102831,0.588112,0.001631,-0.173598,-0.0161166007905,0.0158157,0.175628,0.319326,1.57371,1,1,0,0,0.094971,0.663995,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0156,W0_PRE,PHASE0,15.0273,1660857408.23,ORACLE_RELATIVE,0,7.88656e-17,0.00850604,0.149314,0.00850604,0.149314,NA,0.00850604,0.149314,0.324822,1.55958,1,1,0,0,0.094971,0.663995,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0156,W0_PRE,PHASE0,15.0273,1660857408.23,PERFECT_INCREMENT,0.0995881,0.684876,0.101981,0.502461,0.0023929,-0.182415,-0.0240279712134,0.0122648,0.183301,0.319485,1.57591,1,1,0,0,0.094971,0.663995,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0157,W0_PRE,PHASE0,15.1282,1660857408.33,ONLINE_BASELINE,0.107016,0.668341,0.103769,0.492007,-0.003247,-0.176334,0.0303412573821,0.0132548,0.190657,0.316425,1.5694,1,1,0,0,0.0912072,0.627861,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0157,W0_PRE,PHASE0,15.1282,1660857408.33,ORACLE_RELATIVE,0,1.73742e-17,0.015106,0.205637,0.015106,0.205637,NA,0.015106,0.205637,0.321809,1.56215,1,1,0,0,0.0912072,0.627861,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0157,W0_PRE,PHASE0,15.1282,1660857408.33,PERFECT_INCREMENT,0.102831,0.588112,0.0996202,0.445162,-0.0032108,-0.14295,0.0312240472231,0.00552024,0.155935,0.31662,1.56781,1,1,0,0,0.0912072,0.627861,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0158,W0_PRE,PHASE0,15.229,1660857408.43,ONLINE_BASELINE,0.109437,0.496818,0.10278,0.534608,-0.006657,0.03779,0.060829518353,0.00927575,0.0386954,0.325914,1.56117,1,1,0,0,0.0935966,0.456359,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0158,W0_PRE,PHASE0,15.229,1660857408.43,ORACLE_RELATIVE,0,1.43392e-16,0.0104923,0.125962,0.0104923,0.125962,NA,0.0104923,0.125962,0.331939,1.55429,1,1,0,0,0.0935966,0.456359,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0158,W0_PRE,PHASE0,15.229,1660857408.43,PERFECT_INCREMENT,0.103773,0.492003,0.0993916,0.551841,-0.0043814,0.059838,0.0422210016093,0.00557819,0.063243,0.326062,1.56169,1,1,0,0,0.0935966,0.456359,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0159,W0_PRE,PHASE0,15.3299,1660857408.53,ONLINE_BASELINE,0.101909,0.541391,0.100883,0.413545,-0.001026,-0.127846,0.0100678055913,0.00660649,0.13595,0.31854,1.55812,1,1,0,0,0.0886512,0.357894,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0159,W0_PRE,PHASE0,15.3299,1660857408.53,ORACLE_RELATIVE,0,9.17707e-17,0.0143649,0.121306,0.0143649,0.121306,NA,0.0143649,0.121306,0.323671,1.55719,1,1,0,0,0.0886512,0.357894,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0159,W0_PRE,PHASE0,15.3299,1660857408.53,PERFECT_INCREMENT,0.102782,0.534608,0.101435,0.402149,-0.001347,-0.132459,0.0131054075616,0.00549192,0.143881,0.31851,1.55807,1,1,0,0,0.0886512,0.357894,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0160,W0_PRE,PHASE0,15.4307,1660857408.63,ONLINE_BASELINE,0.094184,0.320195,0.095722,0.265366,0.001538,-0.054829,-0.016329737535,0.00437885,0.0728379,0.324511,1.55714,1,1,0,0,0.0862699,0.265725,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0160,W0_PRE,PHASE0,15.4307,1660857408.63,ORACLE_RELATIVE,0,1.09681e-17,0.0100372,0.1471,0.0100372,0.1471,NA,0.0100372,0.1471,0.329462,1.55583,1,1,0,0,0.0862699,0.265725,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0160,W0_PRE,PHASE0,15.4307,1660857408.63,PERFECT_INCREMENT,0.100885,0.413551,0.101682,0.287681,0.000797,-0.12587,-0.00790008425435,0.00253728,0.149398,0.324189,1.55572,1,1,0,0,0.0862699,0.265725,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0161,W0_PRE,PHASE0,15.5316,1660857408.73,ONLINE_BASELINE,0.090621,0.205426,0.0869225,0.308071,-0.0036985,0.102645,0.0408128358769,0.00598649,0.145996,0.307552,1.57099,1,1,0,0,0.0791264,0.128185,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0161,W0_PRE,PHASE0,15.5316,1660857408.73,ORACLE_RELATIVE,0,2.21305e-17,0.00985952,0.183334,0.00985952,0.183334,NA,0.00985952,0.183334,0.312311,1.56727,1,1,0,0,0.0791264,0.128185,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0161,W0_PRE,PHASE0,15.5316,1660857408.73,PERFECT_INCREMENT,0.0957239,0.265356,0.0916011,0.363896,-0.0041228,0.09854,0.0430697035954,0.00533012,0.111994,0.307236,1.57214,1,1,0,0,0.0791264,0.128185,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0162,W0_PRE,PHASE0,15.6325,1660857408.83,ONLINE_BASELINE,0.080576,0.372793,0.0795714,0.459519,-0.0010046,0.086726,0.0124677323272,0.00410882,0.104371,0.335571,1.5586,1,1,0,0,0.0710832,0.359615,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0162,W0_PRE,PHASE0,15.6325,1660857408.83,ORACLE_RELATIVE,0,2.35642e-16,0.0106268,0.163056,0.0106268,0.163056,NA,0.0106268,0.163056,0.33964,1.55561,1,1,0,0,0.0710832,0.359615,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0162,W0_PRE,PHASE0,15.6325,1660857408.83,PERFECT_INCREMENT,0.0869194,0.308071,0.087352,0.371637,0.0004326,0.063566,-0.00497702469184,0.0024627,0.0855432,0.335304,1.56131,1,1,0,0,0.0710832,0.359615,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0163,W0_PRE,PHASE0,15.7333,1660857408.93,ONLINE_BASELINE,0.0722603,0.53381,0.0771942,0.675019,0.0049339,0.141209,-0.0682795393875,0.00779694,0.158176,0.306362,1.58173,1,1,0,0,0.0641262,0.477512,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
Floor01,registration_counterfactual,F01_NDT_0163,W0_PRE,PHASE0,15.7333,1660857408.93,ORACLE_RELATIVE,0,2.5707e-17,0.0144708,0.219083,0.0144708,0.219083,NA,0.0144708,0.219083,0.31019,1.57594,1,1,0,0,0.0641262,0.477512,YES,P3-R7I floor01_r7i_initialization_comparison.csv,baseline-conditioned closed-loop full-SE3 deskew cloud; counterfactual NDT does not regenerate cloud history
