sequence,frame,window,phase,relative_time_s,init_type,init_to_raw_translation_m,init_to_raw_rotation_deg,initial_translation_error_m,raw_endpoint_translation_error_m,translation_error_change_m,correction_ratio_translation,fitness,transformation_probability,iterations,converged
Corridor01,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,ONLINE_BASELINE,0.0105097,0.466095,0.0105098,1.1992e-07,-0.01050968008,0.999988589697,0.474819,1.29871,1,1
Corridor01,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,ORACLE_RELATIVE,0.0043073,0.17501,0,0.0043073,0.0043073,NA,0.475576,1.30067,1,1
Corridor01,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,PERFECT_INCREMENT,0.00703407,0.400032,0.00568284,0.00349496,-0.00218788,0.384997642024,0.475524,1.29981,1,1
Corridor01,R6_0052,W0_0_3.068,PHASE0,0.10086,ONLINE_BASELINE,0.00333119,0.142033,0.028215,0.0254929,-0.0027221,0.0964770512139,0.71714,1.29787,1,1
Corridor01,R6_0052,W0_0_3.068,PHASE0,0.10086,ORACLE_RELATIVE,0.0114251,0.154414,0,0.0114251,0.0114251,NA,0.716878,1.29699,1,1
Corridor01,R6_0052,W0_0_3.068,PHASE0,0.10086,PERFECT_INCREMENT,0.0114251,0.154414,0,0.0114251,0.0114251,NA,0.716878,1.29699,1,1
Corridor01,R6_0053,W0_0_3.068,PHASE0,0.20172,ONLINE_BASELINE,0.0158765,0.112507,0.0509797,0.0351675,-0.0158122,0.310166595723,0.448831,1.30748,1,1
Corridor01,R6_0053,W0_0_3.068,PHASE0,0.20172,ORACLE_RELATIVE,0.00766112,0.0555368,0,0.00766112,0.00766112,NA,0.442099,1.30768,1,1
Corridor01,R6_0053,W0_0_3.068,PHASE0,0.20172,PERFECT_INCREMENT,0.00727295,0.0833623,0.0254896,0.0193425,-0.0061471,0.241161100998,0.447522,1.30822,1,1
Corridor01,R6_0054,W0_0_3.068,PHASE0,0.30258,ONLINE_BASELINE,0.00909251,0.244949,0.058964,0.0528728,-0.0060912,0.103303710739,0.463428,1.30555,1,1
Corridor01,R6_0054,W0_0_3.068,PHASE0,0.30258,ORACLE_RELATIVE,0.0243953,0.159174,0,0.0243953,0.0243953,NA,0.46019,1.30821,1,1
Corridor01,R6_0054,W0_0_3.068,PHASE0,0.30258,PERFECT_INCREMENT,0.00620954,0.200492,0.0351756,0.0413344,0.0061588,-0.175087276408,0.465687,1.30657,1,1
Corridor01,R6_0055,W0_0_3.068,PHASE0,0.40344,ONLINE_BASELINE,0.0260351,0.194332,0.0708207,0.0453751,-0.0254456,0.359296081513,0.43602,1.30323,1,1
Corridor01,R6_0055,W0_0_3.068,PHASE0,0.40344,ORACLE_RELATIVE,0.0120778,0.262196,0,0.0120778,0.0120778,NA,0.435919,1.30993,1,1
Corridor01,R6_0055,W0_0_3.068,PHASE0,0.40344,PERFECT_INCREMENT,0.017714,0.223876,0.052852,0.0364435,-0.0164085,0.310461288125,0.436148,1.30416,1,1
Corridor01,R6_0056,W0_0_3.068,PHASE0,0.5043,ONLINE_BASELINE,0.00945072,0.251862,0.0571509,0.0480562,-0.0090947,0.15913485177,0.44862,1.30925,1,1
Corridor01,R6_0056,W0_0_3.068,PHASE0,0.5043,ORACLE_RELATIVE,0.0244983,0.250055,0,0.0244983,0.0244983,NA,0.445869,1.31376,1,1
Corridor01,R6_0056,W0_0_3.068,PHASE0,0.5043,PERFECT_INCREMENT,0.00689327,0.165815,0.045338,0.0428757,-0.0024623,0.0543098504566,0.447026,1.31196,1,1
Corridor01,R6_0057,W0_0_3.068,PHASE0,0.60516,ONLINE_BASELINE,0.0121152,0.0531321,0.051682,0.0482538,-0.0034282,0.0663325722689,0.392223,1.32386,1,1
Corridor01,R6_0057,W0_0_3.068,PHASE0,0.60516,ORACLE_RELATIVE,0.0268089,0.234615,0,0.0268089,0.0268089,NA,0.389987,1.32373,1,1
Corridor01,R6_0057,W0_0_3.068,PHASE0,0.60516,PERFECT_INCREMENT,0.00729624,0.120432,0.0479789,0.0464622,-0.0015167,0.0316118126927,0.392506,1.3239,1,1
Corridor01,R6_0058,W0_0_3.068,PHASE0,0.70602,ONLINE_BASELINE,0.00661294,0.28466,0.0725297,0.0659177,-0.006612,0.091162654747,0.435149,1.28803,1,1
Corridor01,R6_0058,W0_0_3.068,PHASE0,0.70602,ORACLE_RELATIVE,0.0261908,0.15994,0,0.0261908,0.0261908,NA,0.466287,1.28963,1,1
Corridor01,R6_0058,W0_0_3.068,PHASE0,0.70602,PERFECT_INCREMENT,0.00367976,0.271038,0.0482563,0.049029,0.0007727,-0.0160124170316,0.470497,1.28607,1,1
Corridor01,R6_0059,W0_0_3.068,PHASE0,0.806817,ONLINE_BASELINE,0.008332,0.294375,0.0843168,0.0762202,-0.0080966,0.0960259402634,0.394362,1.28195,1,1
Corridor01,R6_0059,W0_0_3.068,PHASE0,0.806817,ORACLE_RELATIVE,0.0573988,0.371878,0,0.0573988,0.0573988,NA,0.397171,1.28154,2,1
Corridor01,R6_0059,W0_0_3.068,PHASE0,0.806817,PERFECT_INCREMENT,0.0108829,0.557802,0.0659274,0.0639641,-0.0019633,0.0297797273971,0.390356,1.28044,1,1
Corridor01,R6_0060,W0_0_3.068,PHASE0,0.907677,ONLINE_BASELINE,0.0216395,0.3583,0.104392,0.0903475,-0.0140445,0.134536171354,0.408464,1.29366,1,1
Corridor01,R6_0060,W0_0_3.068,PHASE0,0.907677,ORACLE_RELATIVE,0.0612251,1.04032,0,0.0612251,0.0612251,NA,0.381788,1.29566,2,1
Corridor01,R6_0060,W0_0_3.068,PHASE0,0.907677,PERFECT_INCREMENT,0.0106886,0.560275,0.0761806,0.0754364,-0.0007442,0.00976889129253,0.375377,1.29257,1,1
Corridor01,R6_0061,W0_0_3.068,PHASE0,1.00854,ONLINE_BASELINE,0.0250907,0.224238,0.108003,0.0874479,-0.0205551,0.190319713341,0.360671,1.30186,1,1
Corridor01,R6_0061,W0_0_3.068,PHASE0,1.00854,ORACLE_RELATIVE,0.0579498,0.421985,0,0.0579498,0.0579498,NA,0.355268,1.30541,2,1
Corridor01,R6_0061,W0_0_3.068,PHASE0,1.00854,PERFECT_INCREMENT,0.0134216,0.305977,0.0903135,0.0865032,-0.0038103,0.0421897058579,0.383142,1.29965,1,1
Corridor01,R6_0062,W0_0_3.068,PHASE0,1.1094,ONLINE_BASELINE,0.025102,0.49159,0.104809,0.0827465,-0.0220625,0.210501960709,0.37278,1.29981,1,1
Corridor01,R6_0062,W0_0_3.068,PHASE0,1.1094,ORACLE_RELATIVE,0.0666198,0.585186,0,0.0666198,0.0666198,NA,0.373581,1.3007,2,1
Corridor01,R6_0062,W0_0_3.068,PHASE0,1.1094,PERFECT_INCREMENT,0.0125346,0.731862,0.0875853,0.0882617,0.0006764,-0.00772275712934,0.372751,1.2992,1,1
Corridor01,R6_0063,W0_0_3.068,PHASE0,1.21026,ONLINE_BASELINE,0.0165956,0.34565,0.0782774,0.0819982,0.0037208,-0.0475335154208,0.375969,1.29042,1,1
Corridor01,R6_0063,W0_0_3.068,PHASE0,1.21026,ORACLE_RELATIVE,0.0654755,0.900095,0,0.0654755,0.0654755,NA,0.368757,1.2885,2,1
Corridor01,R6_0063,W0_0_3.068,PHASE0,1.21026,PERFECT_INCREMENT,0.016472,0.369542,0.0829308,0.0839757,0.0010449,-0.0125996614044,0.351381,1.28338,1,1
Corridor01,R6_0064,W0_0_3.068,PHASE0,1.31112,ONLINE_BASELINE,0.00995852,0.339717,0.0923987,0.0961137,0.003715,-0.0402061933772,0.402789,1.3003,1,1
Corridor01,R6_0064,W0_0_3.068,PHASE0,1.31112,ORACLE_RELATIVE,0.0922965,0.879323,0,0.0922965,0.0922965,NA,0.371945,1.29219,2,1
Corridor01,R6_0064,W0_0_3.068,PHASE0,1.31112,PERFECT_INCREMENT,0.0245169,0.155415,0.0821613,0.0983135,0.0161522,-0.196591339231,0.370455,1.29154,1,1
Corridor01,R6_0065,W0_0_3.068,PHASE0,1.41198,ONLINE_BASELINE,0.0120594,0.114166,0.10998,0.102813,-0.007167,0.0651663938898,0.350651,1.28984,1,1
Corridor01,R6_0065,W0_0_3.068,PHASE0,1.41198,ORACLE_RELATIVE,0.0769618,0.824017,0,0.0769618,0.0769618,NA,0.338948,1.28907,2,1
Corridor01,R6_0065,W0_0_3.068,PHASE0,1.41198,PERFECT_INCREMENT,0.0223249,0.631802,0.0962114,0.0953151,-0.0008963,0.00931594384865,0.384224,1.28736,1,1
Corridor01,R6_0066,W0_0_3.068,PHASE0,1.51284,ONLINE_BASELINE,0.0212425,0.132896,0.128083,0.107279,-0.020804,0.162425926938,0.332331,1.29788,1,1
Corridor01,R6_0066,W0_0_3.068,PHASE0,1.51284,ORACLE_RELATIVE,0.0941471,0.937649,0,0.0941471,0.0941471,NA,0.281029,1.28237,2,1
