record_type,sequence,frame,window,phase,relative_time_s,oracle_initial_translation_error_m,oracle_initial_rotation_error_deg,oracle_raw_endpoint_translation_error_m,oracle_raw_endpoint_rotation_error_deg,oracle_push_away_translation_m,push_away_gt_015m,push_away_gt_05m,push_away_gt_10m,strong_retention_le_015m_and_2deg,translation_limited,rotation_limited
FRAME,Corridor01,R6_0051,REFERENCE_ANCHOR_ONLY,PHASE0,0,0,8.88992e-16,0.0043073,0.17501,0.0043073,0,0,0,1,,
FRAME,Corridor01,R6_0052,W0_0_3.068,PHASE0,0.10086,0,1.2424e-16,0.0114251,0.154414,0.0114251,0,0,0,1,,
FRAME,Corridor01,R6_0053,W0_0_3.068,PHASE0,0.20172,0,2.56119e-15,0.00766112,0.0555368,0.00766112,0,0,0,1,,
FRAME,Corridor01,R6_0054,W0_0_3.068,PHASE0,0.30258,0,1.60265e-15,0.0243953,0.159174,0.0243953,0,0,0,1,,
FRAME,Corridor01,R6_0055,W0_0_3.068,PHASE0,0.40344,0,6.4605e-16,0.0120778,0.262196,0.0120778,0,0,0,1,,
FRAME,Corridor01,R6_0056,W0_0_3.068,PHASE0,0.5043,0,1.60285e-15,0.0244983,0.250055,0.0244983,0,0,0,1,,
FRAME,Corridor01,R6_0057,W0_0_3.068,PHASE0,0.60516,0,9.93923e-17,0.0268089,0.234615,0.0268089,0,0,0,1,,
FRAME,Corridor01,R6_0058,W0_0_3.068,PHASE0,0.70602,0,0,0.0261908,0.15994,0.0261908,0,0,0,1,,
FRAME,Corridor01,R6_0059,W0_0_3.068,PHASE0,0.806817,0,3.28747e-15,0.0573988,0.371878,0.0573988,0,0,0,1,,
FRAME,Corridor01,R6_0060,W0_0_3.068,PHASE0,0.907677,0,7.84192e-16,0.0612251,1.04032,0.0612251,0,0,0,1,,
FRAME,Corridor01,R6_0061,W0_0_3.068,PHASE0,1.00854,0,2.00332e-16,0.0579498,0.421985,0.0579498,0,0,0,1,,
FRAME,Corridor01,R6_0062,W0_0_3.068,PHASE0,1.1094,0,4.9108e-16,0.0666198,0.585186,0.0666198,0,0,0,1,,
FRAME,Corridor01,R6_0063,W0_0_3.068,PHASE0,1.21026,0,8.3528e-16,0.0654755,0.900095,0.0654755,0,0,0,1,,
FRAME,Corridor01,R6_0064,W0_0_3.068,PHASE0,1.31112,0,6.11813e-17,0.0922965,0.879323,0.0922965,0,0,0,1,,
FRAME,Corridor01,R6_0065,W0_0_3.068,PHASE0,1.41198,0,3.42014e-17,0.0769618,0.824017,0.0769618,0,0,0,1,,
FRAME,Corridor01,R6_0066,W0_0_3.068,PHASE0,1.51284,0,5.00829e-17,0.0941471,0.937649,0.0941471,0,0,0,1,,
FRAME,Corridor01,R6_0067,W0_0_3.068,PHASE0,1.6137,0,1.2424e-16,0.0879583,0.596732,0.0879583,0,0,0,1,,
FRAME,Corridor01,R6_0068,W0_0_3.068,PHASE0,1.71456,0,4.96962e-17,0.0831758,0.797364,0.0831758,0,0,0,1,,
FRAME,Corridor01,R6_0069,W0_0_3.068,PHASE0,1.81536,0,3.98781e-16,0.0798453,0.913528,0.0798453,0,0,0,1,,
FRAME,Corridor01,R6_0070,W0_0_3.068,PHASE0,1.91622,0,5.62557e-16,0.0996534,1.02228,0.0996534,0,0,0,1,,
FRAME,Corridor01,R6_0071,W0_0_3.068,PHASE0,2.01708,0,8.9591e-17,0.0880328,0.68716,0.0880328,0,0,0,1,,
FRAME,Corridor01,R6_0072,W0_0_3.068,PHASE0,2.11794,0,6.04708e-16,0.147528,1.50302,0.147528,0,0,0,1,,
FRAME,Corridor01,R6_0073,W0_0_3.068,PHASE0,2.2188,0,8.07077e-17,0.165198,2.84112,0.165198,1,0,0,0,,
FRAME,Corridor01,R6_0074,W0_0_3.068,PHASE0,2.31966,0,2.21357e-16,0.0845124,2.41051,0.0845124,0,0,0,0,,
FRAME,Corridor01,R6_0075,W0_0_3.068,PHASE0,2.42052,0,1.94613e-16,0.154808,2.54731,0.154808,1,0,0,0,,
FRAME,Corridor01,R6_0076,W0_0_3.068,PHASE0,2.52138,0,1.11124e-16,0.0957623,1.84349,0.0957623,0,0,0,1,,
FRAME,Corridor01,R6_0077,W0_0_3.068,PHASE0,2.62224,0,8.42731e-16,0.0659926,0.419383,0.0659926,0,0,0,1,,
FRAME,Corridor01,R6_0078,W0_0_3.068,PHASE0,2.7231,0,6.13049e-16,0.255188,1.74965,0.255188,1,0,0,0,,
FRAME,Corridor01,R6_0079,W0_0_3.068,PHASE0,2.8239,0,7.71892e-16,0.0523701,0.571467,0.0523701,0,0,0,1,,
FRAME,Corridor01,R6_0080,W0_0_3.068,PHASE0,2.92476,0,1.62446e-15,0.0823845,0.447911,0.0823845,0,0,0,1,,
FRAME,Corridor01,R6_0081,W0_0_3.068,PHASE0,3.02562,0,1.66853e-15,0.0912585,0.246789,0.0912585,0,0,0,1,,
FRAME,Corridor01,R6_0082,W1_3.068_5.590,PHASE1,3.12648,0,2.29088e-16,0.293297,2.2106,0.293297,1,0,0,0,,
FRAME,Corridor01,R6_0083,W1_3.068_5.590,PHASE1,3.22734,0,1.70982e-17,0.0728674,0.334154,0.0728674,0,0,0,1,,
FRAME,Corridor01,R6_0084,W1_3.068_5.590,PHASE1,3.3282,0,2.02249e-16,0.10658,1.93539,0.10658,0,0,0,1,,
FRAME,Corridor01,R6_0085,W1_3.068_5.590,PHASE1,3.42906,0,1.5931e-15,0.0846106,0.330013,0.0846106,0,0,0,1,,
FRAME,Corridor01,R6_0086,W1_3.068_5.590,PHASE1,3.52992,0,8.9038e-16,0.085618,0.671305,0.085618,0,0,0,1,,
FRAME,Corridor01,R6_0087,W1_3.068_5.590,PHASE1,3.63078,0,4.34841e-17,0.0924898,0.323526,0.0924898,0,0,0,1,,
FRAME,Corridor01,R6_0088,W1_3.068_5.590,PHASE1,3.73164,0,4.03016e-16,0.120397,1.00899,0.120397,0,0,0,1,,
FRAME,Corridor01,R6_0089,W1_3.068_5.590,PHASE1,3.83243,0,1.59134e-15,0.0840861,1.04863,0.0840861,0,0,0,1,,
FRAME,Corridor01,R6_0090,W1_3.068_5.590,PHASE1,3.9333,0,2.04903e-16,0.369391,2.45436,0.369391,1,0,0,0,,
FRAME,Corridor01,R6_0091,W1_3.068_5.590,PHASE1,4.03415,0,9.10946e-16,0.0626194,0.633285,0.0626194,0,0,0,1,,
FRAME,Corridor01,R6_0092,W1_3.068_5.590,PHASE1,4.13502,0,2.16164e-15,0.0614519,0.362638,0.0614519,0,0,0,1,,
FRAME,Corridor01,R6_0093,W1_3.068_5.590,PHASE1,4.23587,0,6.69055e-17,0.0859584,0.80836,0.0859584,0,0,0,1,,
FRAME,Corridor01,R6_0094,W1_3.068_5.590,PHASE1,4.33674,0,1.80846e-15,0.0264211,0.591446,0.0264211,0,0,0,1,,
FRAME,Corridor01,R6_0095,W1_3.068_5.590,PHASE1,4.4376,0,1.61634e-16,0.0759234,0.458909,0.0759234,0,0,0,1,,
FRAME,Corridor01,R6_0096,W1_3.068_5.590,PHASE1,4.53846,0,1.10964e-16,0.0724445,1.42699,0.0724445,0,0,0,1,,
FRAME,Corridor01,R6_0097,W1_3.068_5.590,PHASE1,4.63932,0,0,0.096374,1.38037,0.096374,0,0,0,1,,
FRAME,Corridor01,R6_0098,W1_3.068_5.590,PHASE1,4.74018,0,7.76503e-19,0.164039,1.5929,0.164039,1,0,0,0,,
FRAME,Corridor01,R6_0099,W1_3.068_5.590,PHASE1,4.84097,0,3.97618e-16,0.164612,2.33177,0.164612,1,0,0,0,,
FRAME,Corridor01,R6_0100,W1_3.068_5.590,PHASE1,4.94183,0,1.60034e-15,0.121301,2.5696,0.121301,0,0,0,0,,
FRAME,Corridor01,R6_0101,W1_3.068_5.590,PHASE1,5.04269,0,6.11468e-17,0.139164,2.23798,0.139164,0,0,0,0,,
FRAME,Corridor01,R6_0102,W1_3.068_5.590,PHASE1,5.14355,0,2.97934e-16,0.104667,0.76795,0.104667,0,0,0,1,,
FRAME,Corridor01,R6_0103,W1_3.068_5.590,PHASE1,5.24441,0,1.56686e-16,0.131969,1.72469,0.131969,0,0,0,1,,
FRAME,Corridor01,R6_0104,W1_3.068_5.590,PHASE1,5.34527,0,1.01431e-16,0.12787,1.39951,0.12787,0,0,0,1,,
FRAME,Corridor01,R6_0105,W1_3.068_5.590,PHASE1,5.44613,0,1.74713e-17,0.0942979,1.5092,0.0942979,0,0,0,1,,
FRAME,Corridor01,R6_0106,W1_3.068_5.590,PHASE1,5.54699,0,7.00791e-17,0.091678,1.45478,0.091678,0,0,0,1,,
FRAME,Corridor01,R6_0107,W2_5.590_6.5,PHASE1,5.64785,0,2.2171e-16,0.0733573,1.18092,0.0733573,0,0,0,1,,
FRAME,Corridor01,R6_0108,W2_5.590_6.5,PHASE1,5.74871,0,3.99952e-16,0.0504443,1.31101,0.0504443,0,0,0,1,,
FRAME,Corridor01,R6_0109,W2_5.590_6.5,PHASE1,5.84951,0,1.16702e-16,0.0782684,1.08756,0.0782684,0,0,0,1,,
FRAME,Corridor01,R6_0110,W2_5.590_6.5,PHASE1,5.95037,0,4.82908e-15,0.0570877,1.16049,0.0570877,0,0,0,1,,
FRAME,Corridor01,R6_0111,W2_5.590_6.5,PHASE1,6.05123,0,1.74193e-16,0.0756172,1.21475,0.0756172,0,0,0,1,,
