scan_index,scan_start_stamp,scan_end_stamp,reference_stamp,status,reason,point_count_in,point_count_out,coverage_begin_stamp,coverage_end_stamp,max_state_gap_sec,max_gap_gate_sec,max_velocity_norm_mps,max_acc_world_norm_mps2,max_gyro_norm_radps,coverage_gate_passed,point_count_preserved,reference_equals_selected_boundary,ndt_stamp_matches_reference,future_measurement_csv_field,current_scan_ndt_leakage_csv_field,future_imu_evidence,current_ndt_evidence,csv_zero_fields_are_independent_counters
9,1660857393.298667,1660857393.3995063,1660857393.298667,REJECTED,pending_cloud_queue_full,28519,0,nan,nan,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
10,1660857393.3995271,1660857393.5003662,1660857393.3995271,REJECTED,pending_cloud_queue_full,28505,0,nan,nan,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
11,1660857393.500387,1660857393.6012263,1660857393.500387,REJECTED,pending_cloud_queue_full,28494,0,nan,nan,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
1,1660857392.491843,1660857392.5926824,1660857392.491843,REJECTED,missing_start_coverage,26774,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
2,1660857392.5927031,1660857392.6935413,1660857392.5927031,REJECTED,missing_start_coverage,27123,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
3,1660857392.693563,1660857392.7944014,1660857392.693563,REJECTED,missing_start_coverage,27375,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
4,1660857392.7944231,1660857392.8952613,1660857392.7944231,REJECTED,missing_start_coverage,27514,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
5,1660857392.895282,1660857392.9961214,1660857392.895282,REJECTED,missing_start_coverage,27725,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
6,1660857392.9961419,1660857393.0969262,1660857392.9961419,REJECTED,missing_start_coverage,28095,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
7,1660857393.096947,1660857393.1977863,1660857393.096947,REJECTED,missing_start_coverage,28378,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
8,1660857393.1978071,1660857393.2986462,1660857393.1978071,REJECTED,missing_start_coverage,28508,0,1660857393.5208321,1660857393.5208321,0,0.02,0,0,0,NO_OR_NOT_PUBLISHED,NOT_APPLICABLE,YES,,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
12,1660857393.6012471,1660857393.7020862,1660857393.6012471,PUBLISHED,covered_and_deskewed,28442,28442,1660857393.5208321,1660857393.7058401,0.0050082206726074219,0.02,0.0022484000618394171,0.050921570184955134,0.0038289950530437421,YES,YES,YES,True,0,0,point-time interpolation uses lower sample; future sample only brackets coverage; violating source timestamp rejects point,deskew call has no NDT input; cloud is published before NDT consumes it; NDT correction can affect only later deskew,NO; structural/code-path evidence is recorded separately
