lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857393.601247072,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857393.702106953,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857393.802967072,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857393.903826952,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.004631042,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.105490923,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.206351042,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.307210922,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.408071041,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.508930922,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.609791040,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.710650921,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.811511040,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857394.912370920,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.013175011,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.114034891,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.214895010,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.315754890,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.416615009,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.517474890,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.618335009,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.719194889,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.820055008,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857395.920914888,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.021718979,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.122579098,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.223438978,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.324299097,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.425158978,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.526019096,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.626878977,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.727739096,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.828598976,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857396.929457903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.030262947,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.131123066,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.231982946,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.332843065,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.433702946,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.534563065,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.635422945,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.736283064,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.837142944,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857397.938003063,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.038806915,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.139667034,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.240526915,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.341387033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.442246914,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.543107033,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.643966913,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.744827032,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.845686913,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857398.946547031,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.047349930,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.148210049,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.249069929,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.349930048,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.450789928,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.551650047,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.652509928,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.753370047,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.854229927,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857399.955090046,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.055885077,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.156744957,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.257605076,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.358464956,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.459325075,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.560184956,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.661045074,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.761904955,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.862763882,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857400.963624001,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.064438105,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.165297985,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.266158104,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.367017984,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.467878103,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.568737984,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.669598103,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.770457983,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.871318102,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857401.972177982,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.072983027,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.173842907,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.274703026,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.375562906,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.476423025,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.577282906,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.678143024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.779002905,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.879863024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857402.980721951,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857403.081526041,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857403.182385921,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857403.283246040,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857403.384105921,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
