pipeline,threshold_m,instant_status,instant_relative_common_s,instant_stamp,persistent_status,persistent_relative_common_s,persistent_stamp,persistent_duration_s,continuity_gap_max_s,persistence_min_s,operator,rapid_1m_to_5m_s
legacy,0.25,CROSSED,31.86996603012085,1660857425.4712131,PERSISTENT,37.82036781311035,1660857431.4216149,5.950404167175293,0.25,5.0,strict >,1.81536698341
legacy,0.5,CROSSED,31.86996603012085,1660857425.4712131,PERSISTENT,98.53466296195984,1660857492.13591,317.6910240650177,0.25,5.0,strict >,1.81536698341
legacy,1.0,CROSSED,31.97082495689392,1660857425.572072,PERSISTENT,138.27130889892578,1660857531.872556,277.95437812805176,0.25,5.0,strict >,1.81536698341
legacy,2.0,CROSSED,138.97727298736572,1660857532.5785201,PERSISTENT,138.97727298736572,1660857532.5785201,277.2484140396118,0.25,5.0,strict >,1.81536698341
legacy,5.0,CROSSED,140.08667588233948,1660857533.687923,PERSISTENT,140.08667588233948,1660857533.687923,276.13901114463806,0.25,5.0,strict >,1.81536698341
mature_imu,0.25,CROSSED,30.962280988693237,1660857424.5635281,PERSISTENT,37.82036781311035,1660857431.4216149,5.647824048995972,0.25,5.0,strict >,1.71456313133
mature_imu,0.5,CROSSED,31.46652603149414,1660857425.0677731,PERSISTENT,98.53466296195984,1660857492.13591,12.505965948104858,0.25,5.0,strict >,1.71456313133
mature_imu,1.0,CROSSED,31.668246030807495,1660857425.2694931,PERSISTENT,138.6746928691864,1660857532.2759399,277.55099415779114,0.25,5.0,strict >,1.71456313133
mature_imu,2.0,CROSSED,138.97727298736572,1660857532.5785201,PERSISTENT,138.97727298736572,1660857532.5785201,277.2484140396118,0.25,5.0,strict >,1.71456313133
mature_imu,5.0,CROSSED,140.3892560005188,1660857533.9905031,PERSISTENT,140.3892560005188,1660857533.9905031,8.47170901298523,0.25,5.0,strict >,1.71456313133
