pipeline,stamp,gt_supported,exclude_reason,gt_left_stamp,gt_right_stamp,gt_bracket_width_s,nearest_gt_dt_s
legacy,1660857392.5927031,0,EARLY_BEFORE_GT,,,,
legacy,1660857392.693563,0,EARLY_BEFORE_GT,,,,
legacy,1660857392.7944231,0,EARLY_BEFORE_GT,,,,
legacy,1660857392.895282,0,EARLY_BEFORE_GT,,,,
legacy,1660857392.9961419,0,EARLY_BEFORE_GT,,,,
legacy,1660857393.096947,0,EARLY_BEFORE_GT,,,,
legacy,1660857393.1978071,1,,1660857393.197807,1660857393.399527,0.201719999313,0
legacy,1660857393.298667,1,,1660857393.197807,1660857393.399527,0.201719999313,0.100859880447
legacy,1660857393.3995271,1,,1660857393.399527,1660857393.802967,0.403439998627,0
legacy,1660857393.500387,1,,1660857393.399527,1660857393.802967,0.403439998627,0.100859880447
legacy,1660857393.6012471,1,,1660857393.399527,1660857393.802967,0.403439998627,0.201719999313
legacy,1660857393.702107,1,,1660857393.399527,1660857393.802967,0.403439998627,0.100860118866
legacy,1660857393.8029671,1,,1660857393.802967,1660857394.004631,0.201663970947,0
legacy,1660857393.903827,1,,1660857393.802967,1660857394.004631,0.201663970947,0.1008040905
legacy,1660857394.004631,1,,1660857394.004631,1660857394.206351,0.201719999313,0
legacy,1660857394.1054909,1,,1660857394.004631,1660857394.206351,0.201719999313,0.100859880447
legacy,1660857394.206351,1,,1660857394.206351,1660857394.4080713,0.201720237732,0
legacy,1660857394.3072109,1,,1660857394.206351,1660857394.4080713,0.201720237732,0.100859880447
legacy,1660857394.408071,1,,1660857394.206351,1660857394.4080713,0.201720237732,2.38418579102e-07
legacy,1660857394.5089309,1,,1660857394.4080713,1660857394.609791,0.201719760895,0.100859642029
legacy,1660857394.609791,1,,1660857394.609791,1660857394.811511,0.201719999313,0
legacy,1660857394.7106509,1,,1660857394.609791,1660857394.811511,0.201719999313,0.100859880447
legacy,1660857394.811511,1,,1660857394.811511,1660857395.013175,0.201663970947,0
legacy,1660857394.9123709,1,,1660857394.811511,1660857395.013175,0.201663970947,0.1008040905
legacy,1660857395.013175,1,,1660857395.013175,1660857395.214895,0.201719999313,0
legacy,1660857395.1140349,1,,1660857395.013175,1660857395.214895,0.201719999313,0.100859880447
legacy,1660857395.214895,1,,1660857395.214895,1660857395.416615,0.201719999313,0
legacy,1660857395.3157549,1,,1660857395.214895,1660857395.416615,0.201719999313,0.100859880447
legacy,1660857395.416615,1,,1660857395.416615,1660857395.618335,0.201719999313,0
legacy,1660857395.5174749,1,,1660857395.416615,1660857395.618335,0.201719999313,0.100859880447
legacy,1660857395.618335,1,,1660857395.618335,1660857395.820055,0.201719999313,0
legacy,1660857395.7191949,1,,1660857395.618335,1660857395.820055,0.201719999313,0.100859880447
legacy,1660857395.820055,1,,1660857395.820055,1660857396.021719,0.201663970947,0
legacy,1660857395.9209149,1,,1660857395.820055,1660857396.021719,0.201663970947,0.1008040905
legacy,1660857396.021719,1,,1660857396.021719,1660857396.2234392,0.201720237732,0
legacy,1660857396.1225791,1,,1660857396.021719,1660857396.2234392,0.201720237732,0.100860118866
legacy,1660857396.223439,1,,1660857396.021719,1660857396.2234392,0.201720237732,2.38418579102e-07
legacy,1660857396.3242991,1,,1660857396.2234392,1660857396.425159,0.201719760895,0.100859880447
legacy,1660857396.425159,1,,1660857396.425159,1660857396.626879,0.201719999313,0
legacy,1660857396.5260191,1,,1660857396.425159,1660857396.626879,0.201719999313,0.100859880447
legacy,1660857396.626879,1,,1660857396.626879,1660857396.828599,0.201719999313,0
legacy,1660857396.7277391,1,,1660857396.626879,1660857396.828599,0.201719999313,0.100859880447
legacy,1660857396.828599,1,,1660857396.828599,1660857397.030263,0.201663970947,0
legacy,1660857396.9294579,1,,1660857396.828599,1660857397.030263,0.201663970947,0.100805044174
legacy,1660857397.0302629,1,,1660857397.030263,1660857397.231983,0.201719999313,0
legacy,1660857397.1311231,1,,1660857397.030263,1660857397.231983,0.201719999313,0.100859880447
legacy,1660857397.2319829,1,,1660857397.231983,1660857397.433703,0.201719999313,0
legacy,1660857397.3328431,1,,1660857397.231983,1660857397.433703,0.201719999313,0.100859880447
legacy,1660857397.4337029,1,,1660857397.433703,1660857397.635423,0.201719999313,0
legacy,1660857397.5345631,1,,1660857397.433703,1660857397.635423,0.201719999313,0.100859880447
legacy,1660857397.6354229,1,,1660857397.635423,1660857397.837143,0.201719999313,0
legacy,1660857397.7362831,1,,1660857397.635423,1660857397.837143,0.201719999313,0.100859880447
legacy,1660857397.8371429,1,,1660857397.837143,1660857398.0388072,0.201664209366,0
legacy,1660857397.9380031,1,,1660857397.837143,1660857398.0388072,0.201664209366,0.1008040905
legacy,1660857398.0388069,1,,1660857397.837143,1660857398.0388072,0.201664209366,2.38418579102e-07
legacy,1660857398.139667,1,,1660857398.0388072,1660857398.240527,0.201719760895,0.100859880447
legacy,1660857398.2405269,1,,1660857398.240527,1660857398.442247,0.201719999313,0
legacy,1660857398.341387,1,,1660857398.240527,1660857398.442247,0.201719999313,0.100859880447
legacy,1660857398.4422469,1,,1660857398.442247,1660857398.643967,0.201719999313,0
legacy,1660857398.543107,1,,1660857398.442247,1660857398.643967,0.201719999313,0.100859880447
legacy,1660857398.6439669,1,,1660857398.643967,1660857398.8456872,0.201720237732,0
legacy,1660857398.744827,1,,1660857398.643967,1660857398.8456872,0.201720237732,0.100860118866
legacy,1660857398.8456869,1,,1660857398.643967,1660857398.8456872,0.201720237732,2.38418579102e-07
legacy,1660857398.946547,1,,1660857398.8456872,1660857399.04735,0.201662778854,0.100802898407
legacy,1660857399.0473499,1,,1660857399.04735,1660857399.24907,0.201719999313,0
legacy,1660857399.14821,1,,1660857399.04735,1660857399.24907,0.201719999313,0.100859880447
legacy,1660857399.2490699,1,,1660857399.24907,1660857399.45079,0.201719999313,0
