parameter,legacy,mature,status,evidence
NDT resolution (m),0.8,0.8,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_resolution
NDT step size,0.08,0.08,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_step_size
transformation epsilon,0.001,0.001,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_transformation_epsilon
maximum iterations,40,40.0,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_max_iterations
source voxel XY (m),0.25,0.25,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_source_voxel_size
source voxel Z (m),0.25,0.25,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_source_voxel_z_size
target voxel XY (m),0.15,0.15,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_target_voxel_size
target voxel Z (m),0.15,0.15,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_target_voxel_z_size
maximum source points,1400,1400.0,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_max_source_points
maximum target points,0,0.0,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_max_target_points
step limiter enabled,True,True,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_step_limit_enable
translation step limit (m),0.5,0.5,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_step_limit_max_translation
rotation step limit (deg),5.0,5.0,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/ndt_step_limit_max_rotation_deg
scan reference,start,start,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/scan_reference_time
point-offset scale,1e-09,1e-09,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/offset_time_scale
local IMU rotation prior,True,True,SAME,R7H effective_params.yaml; R9B profile + runtime dump /lidar_update/local_imu_rotation_prior_enable
map SHA-256,2b571af236738a0664befacdc9c783246e991416a8915bcfebb9d2dc074e4570,2b571af236738a0664befacdc9c783246e991416a8915bcfebb9d2dc074e4570,SAME,R7H provenance and R9B profile checked against manifest-verified H1 PCD 2b571af236738a0664befacdc9c783246e991416a8915bcfebb9d2dc074e4570; R9B runtime prefix=2b571af236738a066
map frame,floor01_map_h1,floor01_map_h1,SAME,R7H effective parameters and R9B profile
