event_id,frame_index,time_s,stamp,translation_candidates,yaw_candidates,total_candidates,score_probe_ms,translation_score_ms,yaw_score_and_probe_overhead_ms,single_ndt_ms,all_alternative_align_ms,all_alternative_align_count,sparse_top2_align_ms_if_triggered,sparse_top2_align_count_if_triggered,sparse_triggered,sparse_alternative_align_count,sparse_extra_event_ms
t080,789,79.97746920585632,1660857473.175276279,13,4,17,28.103961,21.200996,6.902965000000002,109.085502,420.82383600000003,16,13.271427,0,0,0,28.103961
t081,799,80.98601222038269,1660857474.183819294,13,4,17,27.723322,20.914016,6.809305999999999,5.362251,426.926829,16,10.21787,0,0,0,27.723322
t082,809,81.9945695400238,1660857475.192376614,13,4,17,28.197339,21.539311,6.658027999999998,8.018758,328.56702,16,26.66012,0,0,0,28.197339
t083,819,83.00310325622559,1660857476.200910330,13,4,17,35.468858,29.227858,6.240999999999996,5.231089,280.084518,16,43.033924,0,0,0,35.468858
t084,829,84.01164746284485,1660857477.209454536,13,4,17,36.234186,29.72087,6.513316,5.487617,435.82294,16,43.961075,0,0,0,36.234186
t085,839,85.02018857002258,1660857478.217995644,13,4,17,26.336472,20.174601,6.161871000000001,5.184294,382.520796,16,43.300231,0,0,0,26.336472
t086,849,86.02873253822327,1660857479.226539612,13,4,17,36.829729,30.718423,6.111305999999999,4.932305,315.83023199999997,16,40.287041,0,0,0,36.829729
t087,859,87.03727650642395,1660857480.235083580,13,4,17,27.163399,20.755406,6.407992999999998,8.115489,365.402126,16,50.517343,0,0,0,27.163399
t088,869,88.04582023620605,1660857481.243627310,13,4,17,26.778781,20.309815,6.468965999999998,5.357432,336.038706,16,43.291501,0,0,0,26.778781
t089,878,88.95350432395935,1660857482.151311398,13,4,17,26.719624,20.415554,6.304069999999999,7.375445,314.08313400000003,16,30.669182999999997,0,0,0,26.719624
t090,888,89.9620475769043,1660857483.159854650,13,4,17,26.55368,20.326995,6.226685,7.524766,297.70849100000004,16,41.270695,0,0,0,26.55368
t091,898,90.9705913066864,1660857484.168398380,13,4,17,26.553819,20.253522,6.3002970000000005,4.92546,293.47363200000007,16,31.208853,0,0,0,26.553819
t092,908,91.97913527488708,1660857485.176942348,13,4,17,32.107508,25.907575,6.1999330000000015,4.815669,236.025806,16,25.936487999999997,0,0,0,32.107508
t093,918,92.98767948150635,1660857486.185486555,13,4,17,26.760971,20.430151,6.330820000000003,4.954514,247.606569,16,26.775638,0,0,0,26.760971
t094,928,93.99622225761414,1660857487.194029331,13,4,17,26.148876,20.00663,6.142246,4.840253,197.709912,16,9.37404,0,0,0,26.148876
t095,938,95.00476622581482,1660857488.202573299,13,4,17,26.349183,20.144637,6.204546000000001,5.010667,235.470984,16,15.077608999999999,0,0,0,26.349183
t096,948,96.01331043243408,1660857489.211117506,13,4,17,27.157464,20.679139,6.478325000000002,5.211812,304.86637699999994,16,51.443866,0,0,0,27.157464
t097,958,97.02185440063477,1660857490.219661474,13,4,17,26.788558,20.265606,6.522952,5.259584,381.813713,16,15.488628,0,0,0,26.788558
t098,968,98.03039741516113,1660857491.228204489,13,4,17,26.718856,20.271189,6.447666999999999,5.239539,334.936183,16,12.932136,2,1,2,39.650992
t099,978,99.03894257545471,1660857492.236749649,13,4,17,26.504092,20.01096,6.493131999999999,5.229901,339.398729,16,10.239450999999999,2,1,2,36.743543
t100,988,100.0474865436554,1660857493.245293617,13,4,17,26.828927,20.321129,6.507798000000001,5.077995,287.62276499999996,16,10.118904,0,0,0,26.828927
t101,997,100.9551694393158,1660857494.152976513,13,4,17,26.811467,20.287952,6.523515,5.124789,297.94972900000005,16,12.767519,2,1,2,39.578986
t102,1007,101.96371340751648,1660857495.161520481,13,4,17,27.900092,21.19094,6.709152,11.10996,415.07361099999997,16,13.180912,0,0,0,27.900092
t103,1017,102.97226810455322,1660857496.170075178,13,4,17,27.748885,20.981413,6.7674720000000015,5.546634,398.74059800000003,16,13.553588,0,0,0,27.748885
t104,1027,103.98080110549927,1660857497.178608179,13,4,17,27.140003,20.467101,6.6729020000000006,5.368817,482.653472,16,13.103387999999999,0,0,0,27.140003
t105,1037,104.98934435844421,1660857498.187151432,13,4,17,26.774729,20.085481,6.689247999999999,5.313432,500.25502499999993,16,16.241244000000002,0,0,0,26.774729
t106,1047,105.9978883266449,1660857499.195695400,13,4,17,26.716202,20.137094,6.579107999999998,5.322791,499.486139,16,13.165826,0,0,0,26.716202
t107,1057,107.00643229484558,1660857500.204239368,13,4,17,32.16841,23.073809,9.094601,7.953525,462.271161,16,16.098488,0,0,0,32.16841
t108,1067,108.01497650146484,1660857501.212783575,13,4,17,26.411132,19.998601,6.412530999999998,10.613594,462.163256,16,18.304513,0,0,0,26.411132
t109,1077,109.02352046966553,1660857502.221327543,13,4,17,22.998728,17.423387,5.575340999999998,6.818874,305.962199,16,17.592685,0,0,0,22.998728
