event_id,frame_index,time_s,stamp,method,relative_fitness_threshold,score_triggered,candidate_pool_size,accepted,selected_candidate_id,selected_dx_body_m,selected_dy_body_m,selected_yaw_deg,baseline_fitness,baseline_raw_ndt_converged,baseline_raw_ndt_iterations,baseline_step_limited,alternative_fitness,relative_fitness_improvement,translation_jump_from_predictor_m,yaw_jump_from_predictor_deg,motion_gate_pass,baseline_translation_error_m,baseline_rotation_error_deg,recovered_translation_error_m,recovered_rotation_error_deg,translation_improvement_m,rotation_improvement_deg,recovered_tx,recovered_ty,recovered_tz,recovered_qx,recovered_qy,recovered_qz,recovered_qw,gt_posthoc_improved,gt_posthoc_worsened,reset_anchor_correction_tx,reset_anchor_correction_ty,reset_anchor_correction_tz
t080,789,79.97746920585632,1660857473.175276279,sparse_probe_top2,0.1,0,0,0,,,,,0.0289859889559,1,1,0,,,,,0,0.47880368411935276,1.2870773772021595,,,,,,,,,,,,,,,,
t081,799,80.98601222038269,1660857474.183819294,sparse_probe_top2,0.1,0,0,0,,,,,0.0492235214469,1,1,1,,,,,0,0.4635001443036218,1.5307777535726892,,,,,,,,,,,,,,,,
t082,809,81.9945695400238,1660857475.192376614,sparse_probe_top2,0.1,0,0,0,,,,,0.0428068862649,1,2,0,,,,,0,0.4574606272718028,0.8103993351691655,,,,,,,,,,,,,,,,
t083,819,83.00310325622559,1660857476.200910330,sparse_probe_top2,0.1,0,0,0,,,,,0.0790696274711,1,1,0,,,,,0,0.43917235896620227,1.1146404521609572,,,,,,,,,,,,,,,,
t084,829,84.01164746284485,1660857477.209454536,sparse_probe_top2,0.1,0,0,0,,,,,0.0406960422536,1,1,0,,,,,0,0.4782396944999646,1.5701240028676255,,,,,,,,,,,,,,,,
t085,839,85.02018857002258,1660857478.217995644,sparse_probe_top2,0.1,0,0,0,,,,,0.111329914366,1,1,0,,,,,0,0.5376359344500089,1.792647096423118,,,,,,,,,,,,,,,,
t086,849,86.02873253822327,1660857479.226539612,sparse_probe_top2,0.1,0,0,0,,,,,0.253786231393,1,1,0,,,,,0,0.5704830076463607,0.372129539161351,,,,,,,,,,,,,,,,
t087,859,87.03727650642395,1660857480.235083580,sparse_probe_top2,0.1,0,0,0,,,,,0.0633651284483,1,2,0,,,,,0,0.6354717356979291,0.39722365969284706,,,,,,,,,,,,,,,,
t088,869,88.04582023620605,1660857481.243627310,sparse_probe_top2,0.1,0,0,0,,,,,0.0416060047945,1,1,0,,,,,0,0.6461985503581117,0.9643044161191732,,,,,,,,,,,,,,,,
t089,878,88.95350432395935,1660857482.151311398,sparse_probe_top2,0.1,0,0,0,,,,,0.136184103736,1,2,0,,,,,0,0.634770375055865,5.967826987728595,,,,,,,,,,,,,,,,
t090,888,89.9620475769043,1660857483.159854650,sparse_probe_top2,0.1,0,0,0,,,,,0.107621981248,1,2,0,,,,,0,0.8434289198520987,1.5303395931070147,,,,,,,,,,,,,,,,
t091,898,90.9705913066864,1660857484.168398380,sparse_probe_top2,0.1,0,0,0,,,,,0.212270824177,1,1,0,,,,,0,0.8096319866983356,0.8509966777442329,,,,,,,,,,,,,,,,
t092,908,91.97913527488708,1660857485.176942348,sparse_probe_top2,0.1,0,0,0,,,,,0.129366416794,1,1,0,,,,,0,0.8886146822796793,2.5783015863343537,,,,,,,,,,,,,,,,
t093,918,92.98767948150635,1660857486.185486555,sparse_probe_top2,0.1,0,0,0,,,,,0.103603162696,1,1,0,,,,,0,0.9903511431606954,0.3422107095122296,,,,,,,,,,,,,,,,
t094,928,93.99622225761414,1660857487.194029331,sparse_probe_top2,0.1,0,0,0,,,,,0.0862820621817,1,1,0,,,,,0,1.0167933017618684,1.6565974395808998,,,,,,,,,,,,,,,,
t095,938,95.00476622581482,1660857488.202573299,sparse_probe_top2,0.1,0,0,0,,,,,0.0725285685706,1,1,0,,,,,0,1.11156296407647,0.8272958418775797,,,,,,,,,,,,,,,,
t096,948,96.01331043243408,1660857489.211117506,sparse_probe_top2,0.1,0,0,0,,,,,0.0367906681743,1,1,0,,,,,0,1.153542850999872,1.313519820383634,,,,,,,,,,,,,,,,
t097,958,97.02185440063477,1660857490.219661474,sparse_probe_top2,0.1,0,0,0,,,,,0.0194301018684,1,1,1,,,,,0,1.1819447645879464,1.236726654540448,,,,,,,,,,,,,,,,
t098,968,98.03039741516113,1660857491.228204489,sparse_probe_top2,0.1,1,2,0,,,,,0.0250363273822,1,1,1,,,,,0,1.182306253928496,2.2476193264003075,,,,,,,,,,,,,,,,
t099,978,99.03894257545471,1660857492.236749649,sparse_probe_top2,0.1,1,2,1,yaw_xy_0_p3,0,0,3,0.0245885576846,1,1,0,0.0211946476602,0.1380280237634935,0.020110361212029033,2.4766610170369843,1,1.1846610603682366,2.3174202074783334,1.1929671856407105,1.5520767606829233,-0.008306125272473874,0.7653434467954101,32.68819560357203,5.04055475890028,3.309994972367779,0.008846840506344836,-0.0014537176529876837,0.8119562628596331,0.5836494215889014,0,1,0.240501428821716,-1.396655105414209,0.22966219112617425
t100,988,100.0474865436554,1660857493.245293617,sparse_probe_top2,0.1,0,0,0,,,,,0.0237145974967,1,1,0,,,,,0,1.1745284146619661,2.1369942752503754,,,,,,,,,,,,,,,,
t101,997,100.9551694393158,1660857494.152976513,sparse_probe_top2,0.1,1,2,0,,,,,0.0254392890707,1,1,0,,,,,0,1.1970125282842676,1.9911458204842825,,,,,,,,,,,,,,,,
t102,1007,101.96371340751648,1660857495.161520481,sparse_probe_top2,0.1,0,0,0,,,,,0.0210575007045,1,1,0,,,,,0,1.1535486622419937,2.7174324509225283,,,,,,,,,,,,,,,,
